,topology_carcinoma_10_clean.csv,topology_dysplasia_18_clean.csv,topology_ad_carcinoma_2_clean.csv,topology_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_dysplasia_5_clean.csv,topology_dysplasia_14_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_dysplasia_13_clean.csv,topology_dysplasia_17_clean.csv,topology_dysplasia_10_clean.csv,topology_carcinoma_20_clean.csv,topology_dysplasia_11_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_carcinoma_4_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_dysplasia_8_clean.csv,topology_carcinoma_17_clean.csv,topology_dysplasia_19_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_dysplasia_2_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_dysplasia_12_clean.csv,topology_ad_dysplasia_1_clean.csv,topology_dysplasia_1_clean.csv,topology_ad_dysplasia_3_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_dysplasia_16_clean.csv,topology_dysplasia_15_clean.csv,topology_dysplasia_4_clean.csv,topology_ad_dysplasia_2_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv,topology_ad_dysplasia_6_clean.csv,topology_ad_dysplasia_9_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_ad_dysplasia_4_clean.csv,topology_dysplasia_6_clean.csv,topology_ad_dysplasia_10_clean.csv,topology_ad_dysplasia_5_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,0.0,37543.361836540054,34751.037892875036,16791.54521637739,33810.45384162206,33295.907096608724,13898.480716712967,35031.225629986664,33549.59739696577,23380.279342072852,26371.210111600005,14856.549143418335,13435.398337125214,21208.676622637682,35409.69475263205,37921.634400738054,36144.19318271229,10048.315781545265,35093.14324077415,37711.92332809315,49795.87249342963,21371.173215179297,29467.385138101352,17486.712853389014,4902.296294932015,30047.023264539035,18107.607785067135,13853.868002646763,10785.181499466496,6166.032281614834,24200.606354691674,24350.239103106822,7505.538320372254,38477.41592647239,43201.97763715439,42951.57370529884,33976.18715753209,13330.889171152578,35583.11312117931,37925.705465305255,41541.08893106026,40534.45219073904,47971.3397635011,21455.223715934662,10613.472470570841,40942.19547180401,10323.005004842324,27444.925252242618,42453.45952709287,28472.573775487515,13886.316388071436,12267.198309530173,9157.170213631702
topology_dysplasia_18_clean.csv,37543.361836540054,0.0,12983.395901820219,50514.16332396256,27406.752437621868,16633.132882330658,23776.451812224263,2676.627579177308,16135.099680394133,14340.331845016273,11643.186834806946,22994.007829703194,38684.95339619004,16367.488045402595,30280.10297105998,15329.089385436679,8529.432295915978,47463.58407928585,4826.579657520761,18645.454881931415,12266.868303669491,16274.564397144577,8148.972335205206,20096.16414901519,33268.930322096036,9635.683867043892,45510.8951704372,23758.128403360766,27799.146814835334,43444.29792736538,13597.831480523677,16455.17741791099,30395.29645268854,4672.519629482006,10510.107482723603,5439.819087214384,3943.8818468853356,48903.02575310884,7477.648330453275,21679.659294565696,11673.343597296787,4708.826743567883,10594.911820153042,16137.99382730553,38223.77637226237,6658.289678327574,30665.35010229269,14544.291261901722,9692.39760574749,10433.306427890966,28830.19424999453,43761.264569867846,38814.79296792566
topology_ad_carcinoma_2_clean.csv,34751.037892875036,12983.395901820219,0.0,44987.36266230204,16330.965388154416,5018.015242266277,21201.033791538106,11602.673564575633,3738.537844771814,12640.702311094568,11301.631925726737,20027.11019656938,32626.073758804167,16065.196021693326,18908.83575365937,3448.4611057704715,4810.224244216892,42252.181199011524,8689.963990922091,5768.114420643091,20643.191376643015,14470.254229663637,14852.184382007214,19074.281775010306,32167.91830378166,7065.823356106743,37426.30110929296,25325.87502032379,23979.209080106044,40014.819623725314,14349.782339413923,10611.86649223547,27605.38375576531,9667.158055760176,11743.071998394535,13909.148857752192,10859.153716844688,45124.52524738583,5857.314182893103,8783.427574137026,8594.57072478343,12124.397498865113,18851.95979779075,16372.510974495197,33802.06796077782,11346.156487703294,26379.33200243332,7641.286804112187,11683.860630953268,7828.715409410805,22388.75701799122,37618.56061951296,33801.307066192014
topology_carcinoma_2_clean.csv,16791.54521637739,50514.16332396256,44987.36266230204,0.0,38580.642023830536,42148.52571879839,26995.10383771081,47990.51283473855,42707.24789714552,36218.7659556013,39327.245287469246,27839.297362799753,12666.436511246491,34172.34775143357,38853.21295449992,47519.83923444725,47773.038667380766,8339.03740097858,48146.14855247391,46119.70213250103,62760.977539112944,34266.607376845146,42752.65853435501,30534.329915327922,21555.008067528353,42295.819487554814,11709.311518466644,29196.40022136709,23266.738267282308,11509.712696788058,37381.80316705022,35244.74957190214,20520.620400928845,51301.10178758343,55168.70666503001,55916.84297891612,46963.07574893524,5263.537351751238,47817.81244517026,45408.615828595,52845.96802798856,53486.73798874961,60986.92829829631,34439.32826175271,12373.369723095639,53568.204601235106,19883.432009654407,38059.31574908388,54526.71376435611,40421.361025595026,22759.200931824333,7545.954721689186,11781.443643750681
topology_ad_carcinoma_10_clean.csv,33810.45384162206,27406.752437621868,16330.965388154416,38580.642023830536,0.0,11478.98945283845,23512.600461030775,25162.66650587465,12930.531505366103,19942.060288743327,20013.00027099883,22134.344008347158,26202.09787713496,22560.467108138688,3259.9061573600375,16624.629557502325,20923.350741191138,38026.06911109942,23762.240465363135,12614.650802125609,36716.355184047796,20344.066583340144,26338.935010880865,23635.00900503499,33303.56080226854,19582.46165530808,27775.59938443711,30010.550630105794,24567.424396478902,37334.854608501344,23492.225765101768,15263.907545810202,27209.60068907612,25824.08211008671,27796.36532594169,29949.758881725644,24002.714795340125,40466.00652926245,21665.80014023469,10617.834182539365,24573.233303078203,28292.879473057274,34948.50663211691,22858.775222027532,28806.398617071718,27459.307627916798,23520.839148849936,14608.09715200244,27754.50520537287,18564.280343161758,20070.177404701397,31592.35089676775,29187.151679013143
topology_ad_carcinoma_9_clean.csv,33295.907096608724,16633.132882330658,5018.015242266277,42148.52571879839,11478.98945283845,0.0,20199.871880543204,14733.049079496579,1913.6370429694207,12931.767719590758,12286.926328138392,18878.616179672943,29627.92934683863,16171.629833849498,14092.121389384607,5642.451209786708,9482.312778787742,39859.95857477735,12624.919118446394,4513.211604348698,25593.00291696339,14236.466941179793,17084.20825205094,18627.166297233456,31245.8095033407,9306.046264612773,33539.36262320172,25224.360570473378,22649.158690673827,38153.31252888119,15439.237734879214,9507.898452244546,26126.688033131126,14395.292367933363,16672.995805441034,18798.390775342905,13760.623561688843,42800.84408529117,10523.818055308655,6310.432515023561,13451.130691515287,16850.467100230355,23792.519611022366,16530.099628367985,31249.85261384701,16284.432715925162,24148.07959064815,6975.522049934224,16629.421764467927,9140.899367068934,20108.852679901695,34760.279495878734,31315.743441647708
topology_dysplasia_5_clean.csv,13898.480716712967,23776.451812224263,21201.033791538106,26995.10383771081,23512.600461030775,20199.871880543204,0.0,21262.139151664258,20376.46928180195,9534.565207219126,12612.193689991254,1651.983222195748,16490.649684267286,7453.322203055614,26088.848809323023,24463.009764443672,22374.832337839773,23716.800126402963,21384.332805086287,24692.520802883086,36027.75056718334,7577.922729721412,15836.792661205778,3783.3884370598594,11134.479128925233,16556.191262097156,22061.953049303313,7069.152365652131,4110.3723855416265,19777.42982968187,10514.626517442153,11164.066388731975,6881.191575384717,24652.23690571793,29372.384229781714,29181.22465945028,20213.681251629034,25378.19226354494,21749.657931044097,25419.393348060003,27782.743863867712,26770.527912532183,34236.90064769883,7712.503444504444,15623.909542504103,27087.761634652914,8947.471815721914,14084.207068385367,28615.275076647747,14712.963645696922,6166.7021572189815,20125.570446275,15407.018989890186
topology_dysplasia_14_clean.csv,35031.225629986664,2676.627579177308,11602.673564575633,47990.51283473855,25162.66650587465,14733.049079496579,21262.139151664258,0.0,14442.826607397254,11826.130415431611,9054.698750699152,20481.588017095797,36151.491588059165,13856.143139888813,28096.247939456433,14205.170252987937,7598.967378995976,44949.599053800186,3647.495610552843,17262.493510208176,14779.707747123635,13749.201162381984,5902.5035030450235,17582.49863918381,30757.282354743387,7411.238115484227,42995.472541874544,21279.492261386597,25281.555815901185,40927.18217441768,11090.797218837268,13947.331260932518,27882.377215846718,5191.45010496571,11279.58075852362,7950.818075498252,1404.9033330361929,46391.797654407295,6269.362918351818,20256.14313562941,11664.969557868164,6369.328708614572,13033.139532111185,13641.76360009283,35708.55457603179,7663.116031060268,28143.41163891964,12086.363884456618,10386.59606761431,7946.689859654883,26310.708673634894,41240.375631478855,36300.10010917286
topology_ad_carcinoma_1_clean.csv,33549.59739696577,16135.099680394133,3738.537844771814,42707.24789714552,12930.531505366103,1913.6370429694207,20376.46928180195,14442.826607397254,0.0,13059.8881919382,12418.513945759254,19065.02990493269,30220.89171967284,16308.356621648343,15521.103969368261,4961.4554648752,8267.610533814232,40306.3982070866,11877.079970103809,4359.008816128324,24219.88743495613,14373.662687947373,17015.51874742276,18762.531594284916,31421.017957737786,9177.598113591413,34258.62431201638,25355.05379600149,22863.966563128528,38492.81301849291,15521.510616169513,9656.196282754121,26379.163226697878,13121.481229965808,15335.882141695198,17538.153629881406,13519.153705313503,43251.66399401159,9456.887106522816,6273.491365931558,12170.151581030155,15564.228167708707,22425.27996980343,16669.180406549156,31752.6618948122,14916.75045802853,24578.505482670727,7109.953560343814,15260.31232171227,9146.151630103572,20509.409037952657,35305.54221389077,31791.25278193856
topology_dysplasia_13_clean.csv,23380.279342072852,14340.331845016273,12640.702311094568,36218.7659556013,19942.060288743327,12931.767719590758,9534.565207219126,11826.130415431611,13059.8881919382,0.0,3436.6391268113007,8774.077289439034,24592.206434416275,3487.1933648698573,23050.27733440773,16063.800504511803,12996.652961937003,33156.04237081327,11974.612067222753,17251.865689667844,26586.52484647067,2747.5623905593484,7953.53599312652,6665.041284083678,19997.454493575067,7385.502421205749,31208.943787620723,12696.024281565196,13502.724805707903,29251.288679720263,4127.323431167688,5361.6583818841955,16348.275779116373,15185.426478648918,19897.341325160236,19740.86280406375,10776.757923092275,34859.87317542238,12272.869580449818,19085.632496165203,18438.991417590812,17319.79851355959,24793.96419812578,3840.2415504934966,24066.139664746734,17603.340959285226,16582.651676280464,6668.618941803095,19128.196946366887,5386.260823314741,14532.445880069405,29452.00239330283,24526.593120008823
