Archivo,Cluster,NombreArchivo
-3_0_0.csv,-1,distancias_bottleneck_dim0.csv
9_0_0.csv,0,distancias_bottleneck_dim0.csv
-1_0_0.csv,-1,distancias_bottleneck_dim0.csv
-5_0_0.csv,-1,distancias_bottleneck_dim0.csv
3_0_0.csv,0,distancias_bottleneck_dim0.csv
5_0_0.csv,0,distancias_bottleneck_dim0.csv
-9_0_0.csv,-1,distancias_bottleneck_dim0.csv
7_0_0.csv,0,distancias_bottleneck_dim0.csv
1_0_0.csv,0,distancias_bottleneck_dim0.csv
-7_0_0.csv,-1,distancias_bottleneck_dim0.csv
-3_0_0.csv,-1,distancias_wasserstein_dim1.csv
9_0_0.csv,0,distancias_wasserstein_dim1.csv
-1_0_0.csv,-1,distancias_wasserstein_dim1.csv
-5_0_0.csv,-1,distancias_wasserstein_dim1.csv
3_0_0.csv,0,distancias_wasserstein_dim1.csv
5_0_0.csv,0,distancias_wasserstein_dim1.csv
-9_0_0.csv,-1,distancias_wasserstein_dim1.csv
7_0_0.csv,0,distancias_wasserstein_dim1.csv
1_0_0.csv,0,distancias_wasserstein_dim1.csv
-7_0_0.csv,-1,distancias_wasserstein_dim1.csv
-3_0_0.csv,0,distancias_wasserstein_dim0.csv
9_0_0.csv,1,distancias_wasserstein_dim0.csv
-1_0_0.csv,0,distancias_wasserstein_dim0.csv
-5_0_0.csv,0,distancias_wasserstein_dim0.csv
3_0_0.csv,1,distancias_wasserstein_dim0.csv
5_0_0.csv,1,distancias_wasserstein_dim0.csv
-9_0_0.csv,0,distancias_wasserstein_dim0.csv
7_0_0.csv,1,distancias_wasserstein_dim0.csv
1_0_0.csv,1,distancias_wasserstein_dim0.csv
-7_0_0.csv,0,distancias_wasserstein_dim0.csv
-3_0_0.csv,-1,distancias_bottleneck_dim1.csv
9_0_0.csv,0,distancias_bottleneck_dim1.csv
-1_0_0.csv,-1,distancias_bottleneck_dim1.csv
-5_0_0.csv,-1,distancias_bottleneck_dim1.csv
3_0_0.csv,0,distancias_bottleneck_dim1.csv
5_0_0.csv,0,distancias_bottleneck_dim1.csv
-9_0_0.csv,-1,distancias_bottleneck_dim1.csv
7_0_0.csv,0,distancias_bottleneck_dim1.csv
1_0_0.csv,0,distancias_bottleneck_dim1.csv
-7_0_0.csv,-1,distancias_bottleneck_dim1.csv
