dimension,birth,death
1,5.307837205724112,7.8100047035445375
1,5.190411341884116,7.6328034138287055
1,5.374041675332733,7.704136313604949
1,5.021289552040611,7.29201894192775
1,5.233750873337291,7.444891270909556
1,5.176932403474658,7.303663856896177
1,5.677405462412957,7.801253536490844
1,5.370370370370364,7.47122382833812
1,5.189468671493987,7.261953551748666
1,5.527566058894512,7.552485613662031
1,5.50376849171641,7.514912551373894
1,5.253176861175154,7.198385621481765
1,5.324988762940613,7.173502359006692
1,5.0316068977591755,6.866542673283525
1,5.753908805871812,7.568261828559052
1,5.569415698030274,7.360029597210821
1,5.556757239650493,7.266390702672211
1,5.78202088481078,7.465210239903173
1,5.467844030620775,7.099031942458968
1,5.333126742278669,6.940035875404659
1,5.4147072594199726,7.000650844378525
1,5.654147836332368,7.1793709576075555
1,5.444485837570247,6.943503150163239
1,5.639967740254465,7.101653134098332
1,5.254763858621682,6.716182301043847
1,5.622089752178143,7.080717262584535
1,5.248807922080466,6.695202760689666
1,5.3843548629663145,6.810195107076574
1,5.413748837153593,6.83366516532942
1,6.096589404483779,7.4721689070403885
1,5.74124091996896,7.103119180416937
1,5.697710798592953,7.054566859860852
1,5.306246319197781,6.656767206077596
1,5.380337319163332,6.665290785042925
1,5.383074177763664,6.665257464229863
1,5.266558410232029,6.5333375325425305
1,5.65645647433346,6.911910437273623
1,5.5712508580482565,6.8088630464461435
1,5.324960673774354,6.5488561708726145
1,5.966759775809836,7.189942021476201
1,5.328513231140361,6.544131226998733
1,5.398195087627123,6.592213888415428
1,5.419497414565776,6.5600800538022845
1,5.453773793486005,6.550370157068141
1,5.621378959475671,6.716464692022406
1,5.756028829026768,6.80142954719699
1,5.353208743952807,6.396626000994379
1,5.8116831599834144,6.849068529291619
1,5.550947736237341,6.584328444447466
1,5.247009995119966,6.252807369494131
1,5.4483759047995175,6.423023549425538
1,5.556822012123903,6.474640765637117
1,6.081259981023195,6.992367773298939
1,6.321669576609304,7.165976869192085
1,5.841867948253236,6.662595403804213
1,5.961143755676702,6.77625091064951
1,6.127105362105603,6.940176532038507
1,6.432304803530683,7.244831052789015
1,5.564089617389971,6.297335815622406
1,5.63816665082204,6.34659564025454
1,5.627054576763624,6.324800762284282
1,5.818908306336422,6.488949812658579
1,5.696783168574324,6.333492735569891
1,5.577051641456445,6.18770241887001
1,5.712438945025147,6.318845509425635
1,5.475661263463015,6.031725286858678
1,5.673307290601668,6.210799272984707
1,6.216740324456524,6.740087282632431
1,5.421655395008261,5.944574374759002
1,5.4690664532278745,5.990307815372096
1,5.667909298693455,6.186045449157304
1,6.6524508296428895,7.141904507902633
1,5.244807658018978,5.714510283285691
1,6.492077053754008,6.953921523697425
1,5.756650989268397,6.193375908525673
1,5.608741701226255,6.029712929860671
1,5.856209639370957,6.255589388662821
1,5.83589596855786,6.1713266682951815
1,6.175843906890219,6.497123981226977
1,5.597205040265201,5.912021650839923
1,6.260600806019661,6.572310573321177
1,5.928952464328163,6.237697906396857
1,5.43039019494337,5.731581760601356
1,5.443605583266115,5.736431104399008
1,6.489974061089115,6.754121946286299
1,5.918166215815908,6.0938130940070145
1,5.8411803392038815,6.0104514863970255
1,6.14458734867044,6.306988703721908
1,5.988453198616318,6.124293092097645
1,6.464513966912154,6.587680990181775
1,5.7605555287663,5.854300598957881
1,5.8119829285821325,5.880591887450238
1,6.148910948404883,6.209715372491029
1,6.137374054542754,6.192281350356146
1,5.401896786212129,5.414646802885669
1,5.849869310114421,5.861531732481865
0,0.0,inf
0,0.0,5.796984525233675
0,0.0,5.6985203167879845
0,0.0,5.616348221659574
0,0.0,5.493038265637252
0,0.0,5.472093061081447
0,0.0,5.457772819056048
0,0.0,5.438977550905366
0,0.0,5.437764555973934
0,0.0,5.4291018693185364
0,0.0,5.420339643216381
0,0.0,5.416145553164287
0,0.0,5.405178068454813
0,0.0,5.367908146552296
0,0.0,5.367304361059879
0,0.0,5.35444846302542
0,0.0,5.346889069929116
0,0.0,5.3186917405039225
0,0.0,5.307040658931821
0,0.0,5.2987889651354685
0,0.0,5.263054695335978
0,0.0,5.262435021388864
0,0.0,5.234003178892562
0,0.0,5.2276122480450535
0,0.0,5.224376516680299
0,0.0,5.215059894588171
0,0.0,5.214285714285701
0,0.0,5.177093385131012
0,0.0,5.174209918405258
0,0.0,5.1613610425255345
0,0.0,5.159859593090516
0,0.0,5.153298835589582
0,0.0,5.148645454618181
0,0.0,5.141697648008694
0,0.0,5.1238289150668885
0,0.0,5.10800068063432
0,0.0,5.097009022758001
0,0.0,5.096328198920387
0,0.0,5.088792884147623
0,0.0,5.080899876282951
0,0.0,5.068690933345391
0,0.0,5.062396306244155
0,0.0,5.056676802130738
0,0.0,5.056604491117709
0,0.0,5.050875133890342
0,0.0,5.0480543998251415
0,0.0,5.044526736969487
0,0.0,5.04027149414531
0,0.0,5.039578906571017
0,0.0,5.035804960725096
0,0.0,5.0325692501830055
0,0.0,5.0215559424110126
0,0.0,5.002153035845232
0,0.0,5.001277791475346
0,0.0,5.00123360404162
0,0.0,5.0
0,0.0,4.99192214423477
0,0.0,4.991393195858774
0,0.0,4.989754809730085
0,0.0,4.988258253956313
0,0.0,4.984295815360774
0,0.0,4.979028552538303
0,0.0,4.97191982808045
0,0.0,4.96932273782439
0,0.0,4.963917740942426
0,0.0,4.946159827726973
0,0.0,4.939780090480799
0,0.0,4.939635614091393
0,0.0,4.939341410833921
0,0.0,4.922911915563291
0,0.0,4.9225233313576275
0,0.0,4.9180636398593345
0,0.0,4.918014054971575
0,0.0,4.90462642527096
0,0.0,4.90018717188707
0,0.0,4.894546110994671
0,0.0,4.8882481948241185
0,0.0,4.8862168664604635
0,0.0,4.881016981339949
0,0.0,4.862068965517238
0,0.0,4.8607386758611
0,0.0,4.84903402556423
0,0.0,4.848826169316643
0,0.0,4.843405814265082
0,0.0,4.842157811462351
0,0.0,4.835088251252023
0,0.0,4.824775810590705
0,0.0,4.804918167788438
0,0.0,4.801896754002787
0,0.0,4.8017998077616575
0,0.0,4.785765394712028
0,0.0,4.7853880485818685
0,0.0,4.770273984677285
0,0.0,4.765761765667748
0,0.0,4.765651450793992
0,0.0,4.761677149175137
0,0.0,4.760459338411527
0,0.0,4.7501342623344955
0,0.0,4.749033411463355
0,0.0,4.740885414459162
0,0.0,4.725432887718481
0,0.0,4.72328419431299
0,0.0,4.719994396971039
0,0.0,4.704586708168377
0,0.0,4.701621099652612
0,0.0,4.698958227183646
0,0.0,4.696551926679827
0,0.0,4.691949442903229
0,0.0,4.69150883000776
0,0.0,4.679994508657739
0,0.0,4.678612760240519
0,0.0,4.674815768170583
0,0.0,4.668200621376513
0,0.0,4.666666666666671
0,0.0,4.66435685299388
0,0.0,4.657621349349129
0,0.0,4.645260773223585
0,0.0,4.643822139328452
0,0.0,4.638473240963496
0,0.0,4.632549394112143
0,0.0,4.63199939349568
0,0.0,4.62082243761865
0,0.0,4.61829710960959
0,0.0,4.615391025636572
0,0.0,4.61332236598181
0,0.0,4.608894609449212
0,0.0,4.601005787749114
0,0.0,4.600881262934492
0,0.0,4.596783758060344
0,0.0,4.592277649268406
0,0.0,4.581125499438536
0,0.0,4.568339980508767
0,0.0,4.565264079011322
0,0.0,4.557624472069017
0,0.0,4.555744971450646
0,0.0,4.5511582770535295
0,0.0,4.550809730512731
0,0.0,4.548392004047716
0,0.0,4.534884709247675
0,0.0,4.528292968918893
0,0.0,4.514358881514749
0,0.0,4.512071237034337
0,0.0,4.507398259471654
0,0.0,4.492391399723992
0,0.0,4.460876844547742
0,0.0,4.460428595780975
0,0.0,4.454049678037669
0,0.0,4.4533817453159985
0,0.0,4.448043296016499
0,0.0,4.433766347437427
0,0.0,4.432095691907189
0,0.0,4.417052753769846
0,0.0,4.41607101118216
0,0.0,4.4156188900805775
0,0.0,4.399473212842036
0,0.0,4.397335051546052
0,0.0,4.390364308964812
0,0.0,4.3888373365222355
0,0.0,4.385290096535148
0,0.0,4.3800410025105325
0,0.0,4.376994992188864
0,0.0,4.37379588127029
0,0.0,4.3664501014371195
0,0.0,4.356493881629941
0,0.0,4.336059916363079
0,0.0,4.332369153847247
0,0.0,4.326998392877297
0,0.0,4.308969772516295
0,0.0,4.308019008520949
0,0.0,4.3075390082612515
0,0.0,4.303053821340029
0,0.0,4.273741683813813
0,0.0,4.21955073977356
0,0.0,4.206574172909514
0,0.0,4.194317266922094
0,0.0,4.184447657073435
0,0.0,4.160740445954439
0,0.0,4.156172484244714
