12,A,133,81,0
12,A,135,81,0
2,B,113,82,0
46,B,114,82,0
4,A,115,82,0
4,A,116,82,0
4,A,117,82,0
22,A,118,82,0
22,A,119,82,0
22,A,120,82,0
4,A,121,82,0
11,A,122,82,0
11,A,123,82,0
11,A,124,82,0
11,A,125,82,0
11,A,126,82,0
11,A,127,82,0
11,A,128,82,0
12,A,129,82,0
12,A,130,82,0
12,A,131,82,0
12,A,132,82,0
12,A,133,82,0
12,A,134,82,0
12,A,135,82,0
12,A,136,82,0
12,A,137,82,0
12,A,138,82,0
12,A,139,82,0
16,A,140,82,0
12,A,141,82,0
12,A,142,82,0
12,A,143,82,0
12,A,144,82,0
16,A,145,82,0
16,A,146,82,0
16,A,147,82,0
16,A,148,82,0
16,A,149,82,0
7,A,150,82,0
7,A,151,82,0
20,B,110,83,0
9,B,111,83,0
20,B,112,83,0
46,B,113,83,0
46,B,114,83,0
10,B,115,83,0
4,A,116,83,0
4,A,117,83,0
22,A,118,83,0
22,A,119,83,0
22,A,120,83,0
4,A,121,83,0
4,A,122,83,0
22,A,123,83,0
11,A,124,83,0
22,A,125,83,0
4,A,126,83,0
11,A,127,83,0
11,A,128,83,0
11,A,129,83,0
4,A,130,83,0
12,A,131,83,0
12,A,132,83,0
12,A,133,83,0
12,A,134,83,0
12,A,135,83,0
12,A,136,83,0
12,A,137,83,0
12,A,138,83,0
12,A,139,83,0
25,B,140,83,0
16,A,141,83,0
12,A,142,83,0
16,A,143,83,0
16,A,144,83,0
16,A,145,83,0
16,A,146,83,0
16,A,147,83,0
16,A,148,83,0
7,A,149,83,0
7,A,150,83,0
7,A,151,83,0
7,A,152,83,0
7,A,153,83,0
20,B,108,84,0
20,B,109,84,0
10,B,110,84,0
9,B,111,84,0
9,B,112,84,0
3,B,113,84,0
9,B,114,84,0
10,B,115,84,0
10,B,116,84,0
22,A,117,84,0
22,A,118,84,0
22,A,119,84,0
22,A,120,84,0
22,A,121,84,0
4,A,122,84,0
22,A,123,84,0
22,A,124,84,0
11,A,125,84,0
