CellID,X_centroid,Y_centroid,phenotype,Cluster
704551,40628.56488549618,38844.25572519084,B cells,0
422248,40211.97326203209,39397.54010695187,CD4+ T cells,0
357285,40035.51401869159,39827.785046728975,CD4+ T cells,1
829067,40725.66233766234,39124.142857142855,CD4+ T cells,2
84343,40369.72282608696,39468.54347826087,CD4+ T cells,3
785345,40168.882575757576,39242.170454545456,CD4+ T cells,4
292984,39948.79518072289,39621.05421686747,CD4+ T cells,5
945870,40023.30107526882,39346.56989247312,CD4+ T cells,6
960603,40444.37435897436,39242.0358974359,CD4+ T cells,7
819271,39800.49193548387,39437.8064516129,CD4+ T cells,8
566601,40204.95652173913,39032.03105590062,CD4+ T cells,9
92456,40112.5871559633,39572.8623853211,CD4+ T cells,10
690269,40148.08108108108,39927.52702702703,CD4+ T cells,11
983765,40360.739726027394,39646.35616438357,CD4+ T cells,12
1009103,40494.27027027027,39438.72972972973,CD4+ T cells,13
406228,40077.15646258504,39656.02040816326,CD4+ T cells,14
747251,40196.181818181816,39134.37320574163,CD4+ T cells,15
997952,39985.688524590165,39277.55737704918,CD4+ T cells,16
322607,40037.439153439154,39898.386243386245,CD4+ T cells,17
592959,40084.30973451328,39945.72566371682,CD4+ T cells,18
567217,40167.34193548387,39209.625806451615,CD4+ T cells,19
481599,40043.60483870968,39836.78225806452,CD4+ T cells,20
797709,40572.309873949576,39229.7762605042,Ki67+ tumor cells ,0
691508,40024.5251572327,38707.30503144654,Ki67+ tumor cells ,1
194882,39918.39890710382,39170.29690346084,Ki67+ tumor cells ,2
408793,41028.7698019802,39337.27227722772,Ki67+ tumor cells ,3
562600,40761.54054054054,39355.43243243243,Ki67+ tumor cells ,4
246300,40734.82006369427,39238.52547770701,Ki67+ tumor cells ,5
232713,40655.27848101266,39213.85171790235,Ki67+ tumor cells ,6
682281,40126.6,39803.16666666666,M1/M0 macrophages,0
658594,40723.46428571428,39272.16428571429,M1/M0 macrophages,1
858830,40012.67256637168,38834.37168141593,M1/M0 macrophages,2
784474,40512.131868131866,39515.57692307692,M1/M0 macrophages,3
381403,40964.09090909091,39310.18660287081,M1/M0 macrophages,4
763624,39979.93769470405,39764.55763239876,M1/M0 macrophages,5
142592,40096.19075144509,39934.18497109826,M1/M0 macrophages,6
982248,40633.13559322034,39487.26271186441,M1/M0 macrophages,7
423652,40623.17589576548,39253.08469055375,M1/M0 macrophages,8
294182,40937.06358381503,39377.59537572254,M1/M0 macrophages,9
564025,40742.86384976526,39273.21596244132,M1/M0 macrophages,10
713451,40469.66433566433,39531.85314685314,M2 macrophages,0
982006,40404.76229508197,38746.97540983607,M2 macrophages,1
904844,39969.68085106383,39645.36170212766,M2 macrophages,2
706071,40124.21854304636,39329.17218543046,M2 macrophages,3
398272,40782.2340425532,39578.63120567376,M2 macrophages,4
465918,40604.97590361446,38932.44578313253,M2 macrophages,5
394514,40123.34415584416,39716.81168831169,M2 macrophages,6
243030,40790.432835820895,39360.69154228856,M2 macrophages,7
