CellID,X_centroid,Y_centroid,phenotype,Cluster
757855,25645.061538461538,12873.410256410256,B cells,0
814599,24510.86896551724,13692.04827586207,B cells,1
779049,25214.10396039604,13227.60396039604,B cells,2
735341,24638.9,13166.955555555556,B cells,3
310822,23548.854054054053,13639.416216216216,B cells,4
180364,25628.39652448657,12606.047393364928,B cells,5
788411,25458.72131147541,13172.995901639344,B cells,6
547842,24875.79695431472,12600.32994923858,B cells,7
458839,24042.72607260726,14423.739273927393,B cells,8
647178,25840.792048929663,12318.7125382263,B cells,9
808658,25637.63346613546,13037.223107569722,B cells,10
868094,24806.051813471506,13534.735751295337,B cells,11
921023,25405.9349593496,13391.50406504065,B cells,12
860705,23128.107266435985,14121.249134948095,B cells,13
271613,25300.26,13074.61,B cells,14
600510,25674.941176470587,12712.751633986927,B cells,15
362349,25618.84782608696,12110.690217391304,B cells,16
255022,25053.69178082192,13081.219178082192,B cells,17
517224,25798.826815642456,12646.656424581006,B cells,18
588225,24938.898785425103,12307.518218623482,B cells,19
767192,25561.989130434784,12972.282608695652,B cells,20
872766,25384.027027027027,12814.027027027028,B cells,21
821912,24197.30592105263,14158.832236842103,B cells,22
251031,24948.69852941177,13188.386029411764,B cells,23
678250,24715.64673913044,13831.510869565218,B cells,24
906005,25554.508108108108,13273.497297297296,B cells,25
1029590,25355.314285714285,12567.614285714286,B cells,26
858541,25756.85549132948,12829.618497109826,B cells,27
449931,25377.560975609755,13232.621951219511,B cells,28
929197,25774.034653465347,12210.252475247526,B cells,29
482573,25543.15068493151,12454.118721461187,B cells,30
618846,25832.56603773585,12510.02358490566,B cells,31
743137,25292.493464052288,13441.970588235294,B cells,32
418671,24788.9795221843,13413.440273037542,B cells,33
980304,25593.799019607843,13065.446078431372,B cells,34
1024545,24818.74358974359,13087.74358974359,B cells,35
648402,25504.552112676058,13098.861971830986,B cells,36
505842,24758.98009950249,13595.064676616916,B cells,37
427087,24973.88724035608,13518.415430267063,B cells,38
833764,25522.61475409836,12860.655737704918,B cells,39
175817,25741.89743589744,13028.02564102564,B cells,40
275230,24753.782467532463,12708.772727272728,B cells,41
147344,24557.0253968254,13301.603174603177,B cells,42
597177,25178.51219512195,13053.573170731708,B cells,43
218169,25315.6261682243,13271.831775700935,B cells,44
893750,25164.61870503597,13387.870503597122,B cells,45
451089,25430.92087912088,13260.593406593409,B cells,46
620232,25680.98148148148,12646.086419753086,B cells,47
385263,25684.552631578947,12778.118421052632,B cells,48
592245,25911.26198083067,12700.603833865816,B cells,49
1001979,25414.795454545456,13324.636363636364,B cells,50
967019,25520.23076923077,13178.553846153844,B cells,51
954211,24882.130890052355,13359.251308900524,B cells,52
721602,25764.30841121495,12671.644859813085,B cells,53
588231,25002.03703703704,13248.944444444443,B cells,54
634395,25779.408854166668,12119.104166666666,B cells,55
338401,25419.39285714286,13142.285714285714,B cells,56
979301,24567.58620689655,13633.078817733993,B cells,57
601545,25666.28965517241,12835.26551724138,B cells,58
1042327,25478.61176470588,12931.670588235294,B cells,59
429844,25590.42654028436,12760.009478672986,B cells,60
992206,25654.8,12970.658823529411,B cells,61
918843,25695.9595959596,13089.232323232323,B cells,62
468624,25349.82692307692,13018.76923076923,B cells,63
709669,25223.605898123325,13173.428954423593,B cells,64
574854,25455.593103448275,13119.193103448277,B cells,65
811296,25365.41868512111,13362.858131487888,B cells,66
675237,25483.534954407296,13332.75075987842,B cells,67
961593,25659.791666666668,12749.041666666666,B cells,68
265766,25490.70186335404,12805.223602484471,B cells,69
791318,24655.77108433735,13129.951807228916,B cells,70
331220,25093.12440191388,13036.507177033493,B cells,71
611696,25552.098540145984,12913.302919708029,B cells,72
713409,25877.40404040404,12469.505050505051,B cells,73
633282,25288.27005347593,13249.35026737968,B cells,74
607509,25518.14606741573,13135.73595505618,B cells,75
696506,25595.115879828325,12936.197424892704,B cells,76
478381,25605.40733197556,13264.784114052953,B cells,77
499528,25725.55162241888,12743.297935103245,B cells,78
126689,25709.678111587986,12803.115879828329,B cells,79
306333,24818.31418918919,13488.179054054051,B cells,80
729970,25508.67661691542,13270.129353233831,B cells,81
835631,25604.53012048193,13037.32530120482,B cells,82
884827,25691.65909090909,12843.147727272728,B cells,83
719947,25704.125628140704,13022.668341708542,B cells,84
721198,25816.018115942028,12684.235507246376,B cells,85
492154,25540.87234042553,13088.035460992907,B cells,86
656999,25765.06015037594,12714.593984962406,B cells,87
647269,25576.81679389313,12874.87786259542,B cells,88
712817,25266.79012345679,13047.37037037037,B cells,89
855153,25333.345029239765,13309.12865497076,B cells,90
867080,25625.44055944056,13060.0,B cells,91
647554,24726.42105263158,13582.447368421052,B cells,92
503376,24745.08035714286,13439.950892857143,B cells,93
868511,25493.67469879518,13155.204819277107,B cells,94
747477,25584.776978417267,13090.86330935252,B cells,95
926658,25394.97619047619,13226.892857142857,B cells,96
968392,25791.06862745098,12831.656862745098,B cells,97
611221,25678.177115987462,13003.44670846395,B cells,98
923188,25446.829545454544,13249.977272727272,B cells,99
803727,25262.153846153848,13233.750915750916,B cells,100
603514,25562.03153153153,12999.9009009009,B cells,101
572001,25692.86131386861,12681.116788321167,B cells,102
982542,25397.306413301663,13304.79809976247,B cells,103
470508,25381.116379310344,13340.224137931034,B cells,104
330346,25637.929133858263,12909.248031496065,B cells,105
722081,25335.49494949495,13287.505050505051,B cells,106
522834,25715.714285714286,12641.632653061224,B cells,107
679221,25663.40306122449,12650.36224489796,B cells,108
838331,25582.311926605504,13033.119266055046,B cells,109
245089,25647.0,12850.884615384615,B cells,110
704166,25392.384615384617,13390.544378698223,B cells,111
788543,25578.015384615384,12956.13846153846,B cells,112
410679,25297.254716981133,13473.264150943396,B cells,113
883372,25643.82872928177,12759.707182320442,B cells,114
41952,25357.957055214723,13384.319018404907,B cells,115
359318,24746.22033898305,13610.587570621468,B cells,116
402539,24804.01694915254,13429.074576271189,B cells,117
384697,25475.8904494382,13110.126404494382,B cells,118
191274,25575.275,13277.80625,B cells,119
579851,25388.05681818182,13410.564393939394,B cells,120
981596,25193.99115044248,13067.929203539825,B cells,121
636816,25440.345505617977,13162.0702247191,B cells,122
900361,25456.81818181818,13269.363636363636,B cells,123
742270,25479.0,13141.4213836478,B cells,124
1042598,25691.74857142857,12803.12,B cells,125
