,topology_ad_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_2_clean.csv,0.0,2935.390845708699,1365.1637559198382,1241.1544402579011,3448.5683871429487,1456.0856994453945,1114.2955162268313,1205.3784821287409,1643.3936443113153,1925.9908380092502,1839.4720516644588,2359.93284167478,1410.2026763154465
topology_ad_carcinoma_10_clean.csv,2935.390845708699,0.0,2113.0813718175377,2307.8646713825824,1326.980632559028,2736.5746182408625,3341.594874120488,3399.99981619596,2087.1151607034635,4253.667692944131,4107.07928309281,2292.661196784211,3436.4031932814255
topology_ad_carcinoma_9_clean.csv,1365.1637559198382,2113.0813718175377,0.0,1354.0105097782812,2650.65199105907,1831.7952839547436,1699.3096145966463,1775.967554934707,1428.034563297889,2414.5644062898004,2626.634291500278,2410.240800900244,2081.3711440311044
topology_ad_carcinoma_1_clean.csv,1241.1544402579011,2307.8646713825824,1354.0105097782812,0.0,2794.0256632999076,974.2859430121865,1683.7512798311586,1622.498272449756,989.209351831011,2786.100177637395,2145.561116610117,1556.9074935601006,1529.5872059259461
topology_ad_carcinoma_8_clean.csv,3448.5683871429487,1326.980632559028,2650.65199105907,2794.0256632999076,0.0,3146.34281396731,3977.729385980759,3995.8073388350294,2517.4738935457217,4818.06869111734,4600.58826925042,2402.8228546077207,3870.245477586496
topology_ad_carcinoma_4_clean.csv,1456.0856994453945,2736.5746182408625,1831.7952839547436,974.2859430121865,3146.34281396731,0.0,1845.3101596655197,1814.7212062580081,1120.1641117921783,3053.629248222513,1599.2648090241596,1314.8058782727207,1047.4314874871593
topology_ad_carcinoma_12_clean.csv,1114.2955162268313,3341.594874120488,1699.3096145966463,1683.7512798311586,3977.729385980759,1845.3101596655197,0.0,682.3645833069429,2104.743536597335,1449.469152757369,1519.2275287107395,2866.069573680894,1435.3285129879175
topology_ad_carcinoma_15_clean.csv,1205.3784821287409,3399.99981619596,1775.967554934707,1622.498272449756,3995.8073388350294,1814.7212062580081,682.3645833069429,0.0,2008.6485114348095,1566.7713892731972,1551.9548800213354,2803.1478171571825,1441.7070706987358
topology_ad_carcinoma_5_clean.csv,1643.3936443113153,2087.1151607034635,1428.034563297889,989.209351831011,2517.4738935457217,1120.1641117921783,2104.743536597335,2008.6485114348095,0.0,3248.174337492369,2302.774391003948,1385.3513665825285,1663.713153248643
topology_ad_carcinoma_11_clean.csv,1925.9908380092502,4253.667692944131,2414.5644062898004,2786.100177637395,4818.06869111734,3053.629248222513,1449.469152757369,1566.7713892731972,3248.174337492369,0.0,2538.9411779301663,4060.1853962488703,2575.2722005953956
topology_ad_carcinoma_6_clean.csv,1839.4720516644588,4107.07928309281,2626.634291500278,2145.561116610117,4600.58826925042,1599.2648090241596,1519.2275287107395,1551.9548800213354,2302.774391003948,2538.9411779301663,0.0,2532.1912571082503,930.66340865124
topology_ad_carcinoma_7_clean.csv,2359.93284167478,2292.661196784211,2410.240800900244,1556.9074935601006,2402.8228546077207,1314.8058782727207,2866.069573680894,2803.1478171571825,1385.3513665825285,4060.1853962488703,2532.1912571082503,0.0,1922.270119565196
topology_ad_carcinoma_13_clean.csv,1410.2026763154465,3436.4031932814255,2081.3711440311044,1529.5872059259461,3870.245477586496,1047.4314874871593,1435.3285129879175,1441.7070706987358,1663.713153248643,2575.2722005953956,930.66340865124,1922.270119565196,0.0
