,topology_ad_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_11_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_2_clean.csv,0.0,16330.965388154416,5018.015242266277,3738.537844771814,18908.83575365937,3448.4611057704715,4810.224244216892,8689.963990922091,5768.114420643091,7065.823356106743,11743.071998394535,8783.427574137026,8594.57072478343
topology_ad_carcinoma_10_clean.csv,16330.965388154416,0.0,11478.98945283845,12930.531505366103,3259.9061573600375,16624.629557502325,20923.350741191138,23762.240465363135,12614.650802125609,19582.46165530808,27796.36532594169,10617.834182539365,24573.233303078203
topology_ad_carcinoma_9_clean.csv,5018.015242266277,11478.98945283845,0.0,1913.6370429694207,14092.121389384607,5642.451209786708,9482.312778787742,12624.919118446394,4513.211604348698,9306.046264612773,16672.995805441034,6310.432515023561,13451.130691515287
topology_ad_carcinoma_1_clean.csv,3738.537844771814,12930.531505366103,1913.6370429694207,0.0,15521.103969368261,4961.4554648752,8267.610533814232,11877.079970103809,4359.008816128324,9177.598113591413,15335.882141695198,6273.491365931558,12170.151581030155
topology_ad_carcinoma_8_clean.csv,18908.83575365937,3259.9061573600375,14092.121389384607,15521.103969368261,0.0,19197.786085367276,23530.31863816647,26515.452410805625,15187.411188937422,22551.159887258407,30363.30484982242,13143.693085314644,27111.125820341767
topology_ad_carcinoma_4_clean.csv,3448.4611057704715,16624.629557502325,5642.451209786708,4961.4554648752,19197.786085367276,0.0,6887.051788026634,11227.429088969082,4292.564628113641,10373.640126499171,11211.58393205449,6669.499180109446,7984.964262669749
topology_ad_carcinoma_12_clean.csv,4810.224244216892,20923.350741191138,9482.312778787742,8267.610533814232,23530.31863816647,6887.051788026634,0.0,4562.167460745452,10353.021702611699,6234.503575338493,7521.714506946492,13336.319559141635,5475.239232511313
topology_ad_carcinoma_15_clean.csv,8689.963990922091,23762.240465363135,12624.919118446394,11877.079970103809,26515.452410805625,11227.429088969082,4562.167460745452,0.0,14432.549722096348,6805.162680552494,9043.606355106716,17465.022128830493,8988.83074879928
topology_ad_carcinoma_5_clean.csv,5768.114420643091,12614.650802125609,4513.211604348698,4359.008816128324,15187.411188937422,4292.564628113641,10353.021702611699,14432.549722096348,0.0,12642.620336182008,15328.681283304679,3383.108051483268,12068.646434444528
topology_ad_carcinoma_11_clean.csv,7065.823356106743,19582.46165530808,9306.046264612773,9177.598113591413,22551.159887258407,10373.640126499171,6234.503575338493,6805.162680552494,12642.620336182008,0.0,13461.92977113013,15357.117925706325,11676.198670616406
topology_ad_carcinoma_6_clean.csv,11743.071998394535,27796.36532594169,16672.995805441034,15335.882141695198,30363.30484982242,11211.58393205449,7521.714506946492,9043.606355106716,15328.681283304679,13461.92977113013,0.0,17261.060850972553,3397.4895952395063
topology_ad_carcinoma_7_clean.csv,8783.427574137026,10617.834182539365,6310.432515023561,6273.491365931558,13143.693085314644,6669.499180109446,13336.319559141635,17465.022128830493,3383.108051483268,15357.117925706325,17261.060850972553,0.0,14004.590620219627
topology_ad_carcinoma_13_clean.csv,8594.57072478343,24573.233303078203,13451.130691515287,12170.151581030155,27111.125820341767,7984.964262669749,5475.239232511313,8988.83074879928,12068.646434444528,11676.198670616406,3397.4895952395063,14004.590620219627,0.0
