,topology_ad_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_2_clean.csv,0.0,10100.533781883245,3805.279827212018,2781.213192492538,9925.685583446384,8116.501584127804,2245.668190944854,2129.780661565329,7642.518232625638,5554.134018832387,5301.070932037539,6044.779822221045
topology_ad_carcinoma_10_clean.csv,10100.533781883245,0.0,6560.42072259986,7698.754630582478,2762.574382248343,8618.81145952617,9680.893378923967,11779.720310227665,6389.886673629449,13390.997479630736,6543.410604602926,11763.875496148701
topology_ad_carcinoma_9_clean.csv,3805.279827212018,6560.42072259986,0.0,1625.2696346413668,6321.377957580756,6312.317222126978,3904.0698776990653,5636.482227125497,5040.624076439652,7805.444829570995,2736.331235718021,6415.795618420057
topology_ad_carcinoma_1_clean.csv,2781.213192492538,7698.754630582478,1625.2696346413668,0.0,7556.988836724004,6833.299331071866,2957.976173318906,4224.156547458648,5702.8235395808415,6553.171248188526,3255.333008689149,6358.56700747922
topology_ad_carcinoma_8_clean.csv,9925.685583446384,2762.574382248343,6321.377957580756,7556.988836724004,0.0,7311.632306377324,9908.535605227939,11650.339146088247,5893.92884576996,13802.0789617395,6877.489680979497,12141.991719188574
topology_ad_carcinoma_4_clean.csv,8116.501584127804,8618.81145952617,6312.317222126978,6833.299331071866,7311.632306377324,0.0,6120.0173385624585,9035.357166923768,2369.998874800379,6835.719495217812,3986.8148829299125,5187.175648550531
topology_ad_carcinoma_12_clean.csv,2245.668190944854,9680.893378923967,3904.0698776990653,2957.976173318906,9908.535605227939,6120.0173385624585,0.0,3060.4617741693564,6108.373996785604,4145.004301881164,3927.493713184517,3953.763163217731
topology_ad_carcinoma_15_clean.csv,2129.780661565329,11779.720310227665,5636.482227125497,4224.156547458648,11650.339146088247,9035.357166923768,3060.4617741693564,0.0,8665.024526879113,6150.859871773412,6372.237634622585,6746.512513962099
topology_ad_carcinoma_5_clean.csv,7642.518232625638,6389.886673629449,5040.624076439652,5702.8235395808415,5893.92884576996,2369.998874800379,6108.373996785604,8665.024526879113,0.0,8220.700246773506,2504.334605666304,6575.0948337644195
topology_ad_carcinoma_6_clean.csv,5554.134018832387,13390.997479630736,7805.444829570995,6553.171248188526,13802.0789617395,6835.719495217812,4145.004301881164,6150.859871773412,8220.700246773506,0.0,6986.373551356401,1735.9312214762463
topology_ad_carcinoma_7_clean.csv,5301.070932037539,6543.410604602926,2736.331235718021,3255.333008689149,6877.489680979497,3986.8148829299125,3927.493713184517,6372.237634622585,2504.334605666304,6986.373551356401,0.0,5472.3405152324485
topology_ad_carcinoma_13_clean.csv,6044.779822221045,11763.875496148701,6415.795618420057,6358.56700747922,12141.991719188574,5187.175648550531,3953.763163217731,6746.512513962099,6575.0948337644195,1735.9312214762463,5472.3405152324485,0.0
