id,Tipo,X,Y,Z
71,2,0,0,0
71,2,1,0,0
71,2,2,0,0
71,2,3,0,0
71,2,4,0,0
71,2,5,0,0
71,2,6,0,0
71,2,7,0,0
0,0,8,0,0
29,1,9,0,0
29,1,10,0,0
29,1,11,0,0
29,1,12,0,0
29,1,13,0,0
29,1,14,0,0
29,1,15,0,0
29,1,16,0,0
29,1,17,0,0
0,0,18,0,0
0,0,19,0,0
49,1,20,0,0
49,1,21,0,0
49,1,22,0,0
49,1,23,0,0
49,1,24,0,0
49,1,25,0,0
49,1,26,0,0
0,0,27,0,0
30,2,28,0,0
30,2,29,0,0
30,2,30,0,0
30,2,31,0,0
30,2,32,0,0
30,2,33,0,0
30,2,34,0,0
30,2,35,0,0
0,0,36,0,0
12,1,37,0,0
12,1,38,0,0
12,1,39,0,0
12,1,40,0,0
12,1,41,0,0
12,1,42,0,0
12,1,43,0,0
12,1,44,0,0
0,0,45,0,0
13,1,46,0,0
13,1,47,0,0
13,1,48,0,0
13,1,49,0,0
13,1,50,0,0
13,1,51,0,0
13,1,52,0,0
13,1,53,0,0
13,1,54,0,0
13,1,55,0,0
0,0,56,0,0
1,1,57,0,0
1,1,58,0,0
1,1,59,0,0
1,1,60,0,0
1,1,61,0,0
1,1,62,0,0
1,1,63,0,0
1,1,64,0,0
1,1,65,0,0
1,1,66,0,0
1,1,67,0,0
0,0,68,0,0
2,2,69,0,0
2,2,70,0,0
2,2,71,0,0
2,2,72,0,0
2,2,73,0,0
2,2,74,0,0
3,2,75,0,0
3,2,76,0,0
3,2,77,0,0
3,2,78,0,0
3,2,79,0,0
3,2,80,0,0
3,2,81,0,0
3,2,82,0,0
3,2,83,0,0
3,2,84,0,0
3,2,85,0,0
0,0,86,0,0
4,1,87,0,0
4,1,88,0,0
4,1,89,0,0
4,1,90,0,0
4,1,91,0,0
4,1,92,0,0
4,1,93,0,0
4,1,94,0,0
4,1,95,0,0
4,1,96,0,0
4,1,97,0,0
0,0,98,0,0
6,1,99,0,0
6,1,100,0,0
6,1,101,0,0
6,1,102,0,0
6,1,103,0,0
6,1,104,0,0
6,1,105,0,0
6,1,106,0,0
0,0,107,0,0
8,1,108,0,0
8,1,109,0,0
8,1,110,0,0
8,1,111,0,0
8,1,112,0,0
8,1,113,0,0
8,1,114,0,0
8,1,115,0,0
8,1,116,0,0
0,0,117,0,0
9,2,118,0,0
9,2,119,0,0
9,2,120,0,0
9,2,121,0,0
9,2,122,0,0
9,2,123,0,0
9,2,124,0,0
10,2,125,0,0
10,2,126,0,0
10,2,127,0,0
10,2,128,0,0
10,2,129,0,0
10,2,130,0,0
10,2,131,0,0
43,2,132,0,0
43,2,133,0,0
43,2,134,0,0
43,2,135,0,0
43,2,136,0,0
43,2,137,0,0
43,2,138,0,0
0,0,139,0,0
11,1,140,0,0
11,1,141,0,0
11,1,142,0,0
11,1,143,0,0
11,1,144,0,0
11,1,145,0,0
11,1,146,0,0
11,1,147,0,0
11,1,148,0,0
11,1,149,0,0
0,0,150,0,0
27,1,151,0,0
27,1,152,0,0
27,1,153,0,0
27,1,154,0,0
27,1,155,0,0
27,1,156,0,0
27,1,157,0,0
27,1,158,0,0
27,1,159,0,0
27,1,160,0,0
0,0,161,0,0
46,2,162,0,0
46,2,163,0,0
46,2,164,0,0
46,2,165,0,0
46,2,166,0,0
46,2,167,0,0
0,0,168,0,0
0,0,169,0,0
47,1,170,0,0
47,1,171,0,0
47,1,172,0,0
47,1,173,0,0
47,1,174,0,0
47,1,175,0,0
47,1,176,0,0
47,1,177,0,0
0,0,178,0,0
28,2,179,0,0
28,2,180,0,0
28,2,181,0,0
28,2,182,0,0
28,2,183,0,0
28,2,184,0,0
93,2,185,0,0
93,2,186,0,0
93,2,187,0,0
93,2,188,0,0
93,2,189,0,0
93,2,190,0,0
93,2,191,0,0
70,2,192,0,0
70,2,193,0,0
70,2,194,0,0
70,2,195,0,0
70,2,196,0,0
70,2,197,0,0
70,2,198,0,0
70,2,199,0,0
71,2,0,1,0
71,2,1,1,0
71,2,2,1,0
71,2,3,1,0
71,2,4,1,0
71,2,5,1,0
71,2,6,1,0
71,2,7,1,0
0,0,8,1,0
29,1,9,1,0
29,1,10,1,0
29,1,11,1,0
29,1,12,1,0
29,1,13,1,0
29,1,14,1,0
29,1,15,1,0
29,1,16,1,0
29,1,17,1,0
0,0,18,1,0
49,1,19,1,0
49,1,20,1,0
49,1,21,1,0
49,1,22,1,0
49,1,23,1,0
49,1,24,1,0
49,1,25,1,0
49,1,26,1,0
0,0,27,1,0
30,2,28,1,0
30,2,29,1,0
30,2,30,1,0
30,2,31,1,0
30,2,32,1,0
30,2,33,1,0
30,2,34,1,0
30,2,35,1,0
0,0,36,1,0
12,1,37,1,0
12,1,38,1,0
12,1,39,1,0
12,1,40,1,0
12,1,41,1,0
12,1,42,1,0
12,1,43,1,0
12,1,44,1,0
0,0,45,1,0
13,1,46,1,0
13,1,47,1,0
13,1,48,1,0
13,1,49,1,0
13,1,50,1,0
13,1,51,1,0
13,1,52,1,0
13,1,53,1,0
13,1,54,1,0
13,1,55,1,0
0,0,56,1,0
1,1,57,1,0
1,1,58,1,0
1,1,59,1,0
1,1,60,1,0
1,1,61,1,0
1,1,62,1,0
1,1,63,1,0
1,1,64,1,0
1,1,65,1,0
1,1,66,1,0
1,1,67,1,0
0,0,68,1,0
2,2,69,1,0
2,2,70,1,0
2,2,71,1,0
2,2,72,1,0
2,2,73,1,0
2,2,74,1,0
2,2,75,1,0
3,2,76,1,0
3,2,77,1,0
3,2,78,1,0
3,2,79,1,0
3,2,80,1,0
3,2,81,1,0
3,2,82,1,0
3,2,83,1,0
3,2,84,1,0
3,2,85,1,0
0,0,86,1,0
4,1,87,1,0
4,1,88,1,0
4,1,89,1,0
4,1,90,1,0
4,1,91,1,0
4,1,92,1,0
4,1,93,1,0
4,1,94,1,0
4,1,95,1,0
4,1,96,1,0
4,1,97,1,0
0,0,98,1,0
6,1,99,1,0
6,1,100,1,0
6,1,101,1,0
6,1,102,1,0
6,1,103,1,0
6,1,104,1,0
6,1,105,1,0
6,1,106,1,0
0,0,107,1,0
8,1,108,1,0
8,1,109,1,0
8,1,110,1,0
8,1,111,1,0
8,1,112,1,0
8,1,113,1,0
8,1,114,1,0
8,1,115,1,0
8,1,116,1,0
0,0,117,1,0
9,2,118,1,0
9,2,119,1,0
9,2,120,1,0
9,2,121,1,0
9,2,122,1,0
9,2,123,1,0
10,2,124,1,0
10,2,125,1,0
10,2,126,1,0
10,2,127,1,0
10,2,128,1,0
10,2,129,1,0
10,2,130,1,0
10,2,131,1,0
43,2,132,1,0
43,2,133,1,0
43,2,134,1,0
43,2,135,1,0
43,2,136,1,0
43,2,137,1,0
43,2,138,1,0
0,0,139,1,0
11,1,140,1,0
11,1,141,1,0
11,1,142,1,0
11,1,143,1,0
11,1,144,1,0
11,1,145,1,0
11,1,146,1,0
11,1,147,1,0
11,1,148,1,0
11,1,149,1,0
0,0,150,1,0
27,1,151,1,0
27,1,152,1,0
27,1,153,1,0
27,1,154,1,0
27,1,155,1,0
27,1,156,1,0
27,1,157,1,0
27,1,158,1,0
27,1,159,1,0
27,1,160,1,0
0,0,161,1,0
46,2,162,1,0
46,2,163,1,0
46,2,164,1,0
46,2,165,1,0
46,2,166,1,0
46,2,167,1,0
46,2,168,1,0
0,0,169,1,0
47,1,170,1,0
47,1,171,1,0
47,1,172,1,0
47,1,173,1,0
47,1,174,1,0
47,1,175,1,0
47,1,176,1,0
47,1,177,1,0
0,0,178,1,0
28,2,179,1,0
28,2,180,1,0
28,2,181,1,0
28,2,182,1,0
28,2,183,1,0
28,2,184,1,0
93,2,185,1,0
93,2,186,1,0
93,2,187,1,0
93,2,188,1,0
93,2,189,1,0
93,2,190,1,0
93,2,191,1,0
93,2,192,1,0
70,2,193,1,0
70,2,194,1,0
70,2,195,1,0
70,2,196,1,0
70,2,197,1,0
70,2,198,1,0
70,2,199,1,0
71,2,0,2,0
71,2,1,2,0
71,2,2,2,0
71,2,3,2,0
71,2,4,2,0
71,2,5,2,0
71,2,6,2,0
71,2,7,2,0
0,0,8,2,0
29,1,9,2,0
29,1,10,2,0
29,1,11,2,0
29,1,12,2,0
29,1,13,2,0
29,1,14,2,0
29,1,15,2,0
29,1,16,2,0
29,1,17,2,0
0,0,18,2,0
49,1,19,2,0
49,1,20,2,0
49,1,21,2,0
49,1,22,2,0
49,1,23,2,0
49,1,24,2,0
49,1,25,2,0
49,1,26,2,0
0,0,27,2,0
30,2,28,2,0
30,2,29,2,0
30,2,30,2,0
30,2,31,2,0
30,2,32,2,0
30,2,33,2,0
30,2,34,2,0
30,2,35,2,0
0,0,36,2,0
12,1,37,2,0
12,1,38,2,0
12,1,39,2,0
12,1,40,2,0
12,1,41,2,0
12,1,42,2,0
12,1,43,2,0
12,1,44,2,0
0,0,45,2,0
0,0,46,2,0
13,1,47,2,0
13,1,48,2,0
13,1,49,2,0
13,1,50,2,0
13,1,51,2,0
13,1,52,2,0
13,1,53,2,0
13,1,54,2,0
13,1,55,2,0
0,0,56,2,0
1,1,57,2,0
1,1,58,2,0
1,1,59,2,0
1,1,60,2,0
1,1,61,2,0
1,1,62,2,0
1,1,63,2,0
1,1,64,2,0
1,1,65,2,0
1,1,66,2,0
1,1,67,2,0
