,-3_0_0.csv,9_0_0.csv,-1_0_0.csv,-5_0_0.csv,3_0_0.csv,5_0_0.csv,-9_0_0.csv,7_0_0.csv,1_0_0.csv,-7_0_0.csv
-3_0_0.csv,1.6954881085474207e-308,4.61985458077514,2.932752398842595,2.5890066932626272,4.61985458077514,4.61985458077514,2.864144356155247,4.61985458077514,4.61985458077514,2.6784514650311237
9_0_0.csv,4.61985458077514,1.5954698933892093e-308,3.630817582488537,3.7813716618052755,0.736575037389418,1.3834002632457416,2.8641443561552453,0.9279394988206251,1.3970405991689585,4.998660834975034
-1_0_0.csv,2.932752398842595,3.630817582488537,2.182802984531841e-308,2.956527602254152,3.630817582488537,2.834904327351074,2.864144356155247,3.630817582488537,2.9361632663411203,4.3905263866613105
-5_0_0.csv,2.5890066932626272,3.7813716618052755,2.956527602254152,1.7615258107016754e-308,3.7813716618052755,3.7813716618052755,2.587184405105919,3.7813716618052755,3.7813716618052755,2.2803595457097714
3_0_0.csv,4.61985458077514,0.736575037389418,3.630817582488537,3.7813716618052755,2.1924536296685117e-308,1.127719792511508,2.8641443561552453,1.2110350625468858,0.980092276855066,4.998660834975034
5_0_0.csv,4.61985458077514,1.3834002632457416,2.834904327351074,3.7813716618052755,1.127719792511508,8.855116809017084e-309,2.864144356155247,1.2702930698228787,0.9258942809490316,4.998660834975034
-9_0_0.csv,2.864144356155247,2.8641443561552453,2.864144356155247,2.587184405105919,2.8641443561552453,2.864144356155247,1.9459470276524314e-308,2.864144356155247,2.864144356155247,2.839590891603086
7_0_0.csv,4.61985458077514,0.9279394988206251,3.630817582488537,3.7813716618052755,1.2110350625468858,1.2702930698228787,2.864144356155247,2.02627111592934e-308,1.1345094104785804,4.998660834975034
1_0_0.csv,4.61985458077514,1.3970405991689585,2.9361632663411203,3.7813716618052755,0.980092276855066,0.9258942809490316,2.864144356155247,1.1345094104785804,1.1463671184516776e-308,4.998660834975034
-7_0_0.csv,2.6784514650311237,4.998660834975034,4.3905263866613105,2.2803595457097714,4.998660834975034,4.998660834975034,2.839590891603086,4.998660834975034,4.998660834975034,1.075807149643976e-308
