Archivo,Cluster
-3_0_0.csv,0
9_0_0.csv,1
-1_0_0.csv,0
-5_0_0.csv,0
3_0_0.csv,1
5_0_0.csv,1
-9_0_0.csv,-1
7_0_0.csv,1
1_0_0.csv,1
-7_0_0.csv,0
