,1_20_20.csv,2_2_2.csv,-3_0_-3.csv,20_1_1.csv,10_10_0.csv,20_20_1.csv,0_10_6.csv,0_20_2.csv,1_1_10.csv,-1_-10_-10.csv,0_-20_-2.csv,100_1_15.csv,1_10_10.csv,1_15_100.csv,10_0_0.csv,20_1_20.csv,10_0_10.csv,-1_-1_-1.csv,2_0_2.csv,8_18_2.csv,0_-10_0.csv,0_6_2.csv,1_1_1.csv,-3_-3_-3.csv,18_18_18.csv,-8_-18_-2.csv,1_10_1.csv
1_20_20.csv,0.0,30.59688246150386,83.37141291620594,59.44289552180095,47.27442463049287,22.50739040251578,52.62761921803478,57.435193248668654,52.324419803922524,100.95441790282736,112.05597629924027,59.835144599340296,25.252554892187156,34.08527084476547,78.65972649076096,59.72000204918255,70.64462819439392,79.2378151349327,66.60339418290573,24.6762454496686,100.34402974315121,46.02751508773998,40.58535387276589,80.41211924317756,51.792505722804805,110.06637890430935,37.38578571016958
2_2_2.csv,30.59688246150386,0.0,81.78905845744684,47.68170103048975,40.735662678699384,19.89324389455038,46.54983196265329,52.30439820705596,38.48468045368264,102.42479388921274,110.9648112815055,49.51773481455448,18.33889095141224,30.023608851060594,76.22185922887118,47.523493450149225,60.602988923765594,81.3665217086204,55.10380966051671,19.628780078851413,102.29350092621547,40.21577911853713,23.860471387203837,81.89540618284333,60.76703365976522,110.68335741963618,20.326107583371137
-3_0_-3.csv,83.37141291620594,81.78905845744684,0.0,85.70902932725728,78.34969843442515,89.37740692830249,79.50030058348626,70.40695251237968,88.7022152542086,54.63750675943187,51.62145631150967,76.21185217835037,87.31478362314351,76.56993045460926,69.87067912706637,81.14510359327551,78.99985943030799,35.9964283238356,78.66565483821745,88.09366462367726,59.058485144222644,72.72440954366353,91.49693319927367,33.65476516150427,69.2852370504015,52.15512410635846,87.27539596566865
20_1_1.csv,59.44289552180095,47.68170103048975,85.70902932725728,0.0,28.877615606657958,55.2432536714993,27.63723793745253,32.08117909717742,18.642592910386725,86.27548639828416,108.24734538635708,22.026272938546093,49.255927532652265,38.2462045120085,47.44614493874106,18.72058577612256,23.865021691935922,76.1387852785288,20.638314744685616,54.567917747081424,84.8819719504439,31.064232807193314,35.40640766862407,80.44972048099383,86.22164340564589,104.30424921112053,37.27558913076514
10_10_0.csv,47.27442463049287,40.735662678699384,78.34969843442515,28.877615606657958,0.0,46.15267406594492,22.338873828082797,25.19452542634992,27.939463996328758,79.75189278323919,101.16498400290742,26.014783616355373,39.81465177904112,31.596481980052353,47.61048746964624,24.15952479280962,31.369685821191773,68.10231559631717,29.243455609226675,47.472054617979445,78.58799568244626,21.423019708586303,35.2940030805966,71.35166637352728,70.01663164459667,97.64345589290554,36.17581518996283
20_20_1.csv,22.50739040251578,19.89324389455038,89.37740692830249,55.2432536714993,46.15267406594492,0.0,52.77420375172309,59.4510746215074,45.598097901767716,109.23774903621158,118.99940679251179,58.011525562980545,16.581906172098844,34.8465870142461,83.58365101752032,55.45384866470078,69.22358147834822,88.36987749779648,63.4145169096941,14.480147695310812,109.53093454110802,46.90524945219036,28.06006890244796,88.67393550116981,58.360588633381724,118.11951321771502,25.076497798926912
0_10_6.csv,52.62761921803478,46.54983196265329,79.50030058348626,27.63723793745253,22.338873828082797,52.77420375172309,0.0,23.85665305939444,32.936718441610466,75.97845074947091,98.89416225238865,23.510164796890813,46.88732377909909,34.84379333542835,41.26727199447533,24.6773172356242,27.43642783614815,67.00685908760981,29.922713195991193,52.79077375842703,74.42232836972335,21.653996708590128,43.6102792039139,70.72407234044508,70.5685816827231,95.19170390295267,42.580058628067206
0_20_2.csv,57.435193248668654,52.30439820705596,70.40695251237968,32.08117909717742,25.19452542634992,59.4510746215074,23.85665305939444,0.0,35.938908092709184,66.17608001355055,87.9961511721082,22.772572282023972,53.082770896983504,36.23646196076442,36.81688623923503,25.98416144924581,27.921311949527837,56.091002477618645,29.391032435587597,58.92606682332587,65.84241748996024,25.374885024673297,48.63340253220976,60.08784748614043,74.53311533978965,85.65723779755102,46.63133939892137
1_1_10.csv,52.324419803922524,38.48468045368264,88.7022152542086,18.642592910386725,27.939463996328758,45.598097901767716,32.936718441610466,35.938908092709184,0.0,93.65497408634715,113.22846698920239,27.784033941458667,38.97302368830602,33.08398886647353,56.53630861932235,22.257957008547667,34.42063018918508,81.52662564004373,28.765342641170683,43.82033416206416,92.29707661397907,32.56064881408574,23.453921097761924,84.34629739289244,81.90566666970781,109.3472175748156,26.028120588892463
-1_-10_-10.csv,100.95441790282736,102.42479388921274,54.63750675943187,86.27548639828416,79.75189278323919,109.23774903621158,75.97845074947091,66.17608001355055,93.65497408634715,0.0,44.03612322079228,73.60769637090296,104.71284314787013,87.0276774624038,51.08145881945428,79.56545965482805,72.10634443849744,33.66188927047737,76.95737951540214,107.42063002381505,22.942618104701292,73.23421237422697,105.66579605144521,39.775364161594084,96.72039493335195,35.793526255143206,102.37769451691429
