,-5_0_0_B.csv,-1_0_0_B.csv,7_0_0_B.csv,1_0_0_B.csv,-9_0_0_B.csv,-3_0_0_B.csv,-7_0_0_B.csv,5_0_0_B.csv,9_0_0_B.csv,3_0_0_B.csv
-5_0_0_B.csv,0.0,38.16836125382255,170.4471977763033,175.5812040876558,45.04275469278604,36.193824109324545,49.76863364387097,181.69427742621428,201.80780212616656,195.17329408628632
-1_0_0_B.csv,38.16836125382255,0.0,162.58259187356697,164.5733557626198,57.99834583859648,33.132186357732394,49.15120180863691,179.9197690216836,192.64232784741847,187.5908640715263
7_0_0_B.csv,170.4471977763033,162.58259187356697,0.0,32.440153375269645,147.27982043623723,175.99851718677763,159.09679353301792,48.02441876803468,41.1999395202703,38.293784033931686
1_0_0_B.csv,175.5812040876558,164.5733557626198,32.440153375269645,0.0,149.90191619621987,177.22178712540085,158.56516199609928,71.94825210666149,35.660880187710774,47.78745653489959
-9_0_0_B.csv,45.04275469278604,57.99834583859648,147.27982043623723,149.90191619621987,0.0,48.351250399293505,48.21996606815725,161.02850592977055,177.23996022008728,171.0641792024469
-3_0_0_B.csv,36.193824109324545,33.132186357732394,175.99851718677763,177.22178712540085,48.351250399293505,0.0,32.85907756527179,192.0258178159273,205.3040421068646,199.8329643612608
-7_0_0_B.csv,49.76863364387097,49.15120180863691,159.09679353301792,158.56516199609928,48.21996606815725,32.85907756527179,0.0,175.02167463150096,187.29859180424262,182.25479007158987
5_0_0_B.csv,181.69427742621428,179.9197690216836,48.02441876803468,71.94825210666149,161.02850592977055,192.0258178159273,175.02167463150096,0.0,70.37959309623368,40.77784007503048
9_0_0_B.csv,201.80780212616656,192.64232784741847,41.1999395202703,35.660880187710774,177.23996022008728,205.3040421068646,187.29859180424262,70.37959309623368,0.0,39.03550882124191
3_0_0_B.csv,195.17329408628632,187.5908640715263,38.293784033931686,47.78745653489959,171.0641792024469,199.8329643612608,182.25479007158987,40.77784007503048,39.03550882124191,0.0
