centroides_x,centroides_y,id
103.37179487179488,80.76923076923077,B
121.0,79.08641975308642,B
114.36486486486487,79.95945945945945,A
132.23684210526315,80.27631578947368,A
145.20253164556962,80.53164556962025,B
140.8815789473684,79.21052631578948,A
157.24657534246575,81.21917808219177,A
99.6625,88.55,B
91.60526315789474,85.47368421052632,A
101.9090909090909,81.55844155844156,A
120.73333333333333,83.08,A
133.1219512195122,83.21951219512195,B
146.93506493506493,85.57142857142857,B
148.27777777777777,93.52777777777777,A
158.28205128205127,84.12820512820512,B
162.41333333333333,82.21333333333334,A
167.20253164556962,83.25316455696202,B
83.89333333333333,94.22666666666667,A
93.9620253164557,96.75949367088607,B
110.675,85.0375,B
102.54545454545455,93.24675324675324,A
112.72368421052632,98.01315789473684,A
124.9746835443038,89.44303797468355,A
139.0,96.61728395061728,B
130.77215189873417,101.21518987341773,A
153.14473684210526,100.22368421052632,A
164.68,91.53333333333333,A
170.75675675675674,92.33783783783784,A
183.57894736842104,100.05263157894737,A
85.31168831168831,108.22077922077922,A
82.27027027027027,108.58108108108108,A
90.2,97.875,B
99.4875,106.3125,A
118.38157894736842,101.39473684210526,B
124.91358024691358,96.4074074074074,B
123.69444444444444,108.20833333333333,A
143.14473684210526,97.57894736842105,A
152.02597402597402,112.6103896103896,B
151.12820512820514,107.48717948717949,B
166.5921052631579,99.10526315789474,B
180.25,104.34210526315789,A
173.84146341463415,94.28048780487805,B
84.58227848101266,99.9367088607595,B
94.70886075949367,102.88607594936708,B
83.36,117.8,A
95.44594594594595,114.9054054054054,A
115.65432098765432,121.18518518518519,B
126.40243902439025,108.86585365853658,B
126.52631578947368,110.47368421052632,A
139.6172839506173,108.32098765432099,B
142.32894736842104,117.78947368421052,A
153.35526315789474,117.15789473684211,A
161.30263157894737,108.14473684210526,A
171.02739726027397,114.32876712328768,A
180.65,102.7875,B
183.37179487179486,110.7051282051282,B
87.75324675324676,111.14285714285714,B
84.025,118.725,B
98.70886075949367,118.07594936708861,B
107.84810126582279,112.0506329113924,B
116.62820512820512,121.1025641025641,B
110.85714285714286,111.74025974025975,A
123.63013698630137,123.52054794520548,A
138.78666666666666,122.54666666666667,A
144.8,121.6,B
161.44303797468353,116.67088607594937,B
160.01351351351352,125.47297297297297,A
171.66233766233765,126.57142857142857,A
182.6875,123.55,B
183.28,114.64,A
79.56410256410257,131.01282051282053,B
89.14634146341463,130.5121951219512,B
84.97297297297297,131.0,A
93.94666666666667,130.49333333333334,A
108.49333333333334,122.54666666666667,A
120.29629629629629,129.40740740740742,B
119.93506493506493,131.93506493506493,A
133.61333333333334,130.17333333333335,A
140.92,136.74666666666667,A
152.64473684210526,130.5,A
161.05194805194805,122.67532467532467,B
169.15584415584416,119.71428571428571,B
174.77777777777777,125.25925925925925,B
185.44871794871796,127.44871794871794,A
79.41558441558442,131.6103896103896,A
90.92682926829268,141.1341463414634,B
106.30379746835443,140.56962025316454,B
94.10666666666667,141.12,A
109.38666666666667,137.04,A
119.16883116883118,141.1818181818182,A
127.83544303797468,133.0,B
138.6125,133.6625,B
148.475,126.125,B
156.20987654320987,139.9506172839506,B
166.81578947368422,141.01315789473685,A
176.78947368421052,132.21052631578948,A
181.6375,141.6,B
183.1153846153846,132.97435897435898,B
80.5945945945946,148.54054054054055,A
83.45,146.4875,B
90.70666666666666,151.13333333333333,A
108.3125,145.4375,B
108.97333333333333,147.93333333333334,A
123.30263157894737,151.07894736842104,A
126.8625,143.075,B
134.36486486486487,149.27027027027026,A
153.6315789473684,147.71052631578948,A
159.6625,143.15,B
161.05405405405406,144.83783783783784,A
174.7875,147.7875,B
180.96103896103895,138.7922077922078,A
186.28,150.21333333333334,A
86.89873417721519,150.1139240506329,B
86.0125,160.6875,B
98.06410256410257,155.03846153846155,B
106.475,163.9625,B
107.8051948051948,159.76623376623377,A
127.6,158.4,A
124.18181818181819,150.32467532467533,B
142.50632911392404,150.51898734177215,B
146.0,163.94805194805195,A
148.24,156.10666666666665,A
165.67105263157896,161.19736842105263,A
172.75324675324674,152.2987012987013,A
185.07792207792207,156.32467532467533,B
182.82666666666665,162.04,A
88.35,171.6875,B
79.2987012987013,160.74025974025975,A
93.61333333333333,162.04,A
105.85185185185185,170.97530864197532,B
118.03896103896103,162.57142857142858,B
129.76923076923077,165.42307692307693,B
132.44444444444446,160.87654320987653,B
152.90123456790124,162.45679012345678,B
158.65432098765433,160.77777777777777,B
158.5,161.125,B
173.42105263157896,171.82894736842104,A
178.9746835443038,160.21518987341773,B
92.13924050632912,174.8860759493671,B
89.22972972972973,169.85135135135135,A
101.51898734177215,181.84810126582278,B
110.42666666666666,175.6,A
123.05333333333333,169.92,A
121.57692307692308,176.15384615384616,B
138.8641975308642,177.93827160493828,B
143.1375,178.15,B
165.77215189873417,177.77215189873417,B
166.02597402597402,173.7922077922078,A
170.5,169.4,B
91.22368421052632,178.28947368421052,A
101.84615384615384,169.24358974358975,A
116.01369863013699,176.68493150684932,A
132.88311688311688,181.74025974025975,A
131.63291139240508,179.9240506329114,B
137.86666666666667,172.66666666666666,A
151.33333333333334,185.85897435897436,B
149.14864864864865,178.74324324324326,A
159.1315789473684,177.03947368421052,A
102.78666666666666,184.58666666666667,A
123.97333333333333,183.77333333333334,A
119.07594936708861,186.35443037974684,B
142.97435897435898,187.39743589743588,A
156.32,184.14666666666668,A
151.20987654320987,178.93827160493828,B
