centroides_x,centroides_y,id
107.08695652173913,88.26086956521739,B
116.44444444444444,88.28888888888889,B
124.95744680851064,86.34042553191489,B
126.28,89.24,A
136.37254901960785,85.47058823529412,B
140.4313725490196,88.96078431372548,A
152.44,93.1,A
99.71739130434783,93.8913043478261,B
110.63829787234043,95.80851063829788,B
110.24489795918367,88.93877551020408,A
120.86,96.82,B
130.70833333333334,93.02083333333333,B
140.19148936170214,93.82978723404256,B
144.02,97.7,A
147.79166666666666,87.5,B
158.83333333333334,93.6875,B
160.59183673469389,98.59183673469387,A
94.0,101.42857142857143,B
99.09803921568627,110.31372549019608,B
105.08163265306122,102.87755102040816,B
115.66666666666667,106.35416666666667,B
115.16666666666667,95.70833333333333,A
131.95744680851064,103.29787234042553,B
141.4375,103.125,B
135.36,99.54,A
150.48,98.94,B
152.62,105.28,A
167.72916666666666,99.16666666666667,B
167.96,105.1,A
95.02,107.36,A
89.3061224489796,110.61224489795919,B
101.09615384615384,98.48076923076923,A
106.97916666666667,113.35416666666667,B
111.98,101.98,A
124.75555555555556,105.82222222222222,B
128.78846153846155,109.96153846153847,A
126.19607843137256,98.86274509803921,A
139.125,114.35416666666667,B
148.38297872340425,108.2127659574468,B
159.8695652173913,104.3695652173913,B
161.98076923076923,111.32692307692308,A
173.76470588235293,113.6078431372549,A
91.16,116.16,A
102.37254901960785,117.31372549019608,A
106.24489795918367,111.3265306122449,A
116.72222222222223,110.0925925925926,A
112.14583333333333,118.25,B
122.97826086956522,114.06521739130434,B
131.3265306122449,117.38775510204081,B
135.7843137254902,113.27450980392157,A
147.16326530612244,118.75510204081633,B
147.68,110.86,A
156.2173913043478,114.1304347826087,B
166.87755102040816,113.89795918367346,B
173.8,107.22,B
179.1304347826087,117.1086956521739,B
86.22448979591837,119.71428571428571,B
88.77083333333333,125.54166666666667,A
100.82,122.66,B
113.96078431372548,123.80392156862744,A
125.28571428571429,126.73469387755102,A
121.83673469387755,121.44897959183673,B
122.34,117.78,A
139.82222222222222,124.4888888888889,B
142.40816326530611,117.36734693877551,A
155.3,119.38,A
153.72916666666666,123.6875,B
162.48979591836735,124.3265306122449,B
172.72340425531914,122.51063829787235,B
177.4375,123.625,A
85.52173913043478,129.43478260869566,B
96.17391304347827,130.58695652173913,B
94.83673469387755,122.59183673469387,A
102.76,129.1,A
110.3,127.7,B
119.85714285714286,130.3469387755102,B
130.50980392156862,128.92156862745097,B
136.12,127.4,A
147.27450980392157,127.33333333333333,A
144.80392156862746,137.01960784313727,A
159.60416666666666,129.14583333333334,A
166.87755102040816,120.9795918367347,A
171.47058823529412,130.05882352941177,A
180.47916666666666,129.875,B
85.85416666666667,139.45833333333334,B
89.15686274509804,135.2156862745098,A
98.72916666666667,137.20833333333334,A
105.16326530612245,135.59183673469389,B
113.67924528301887,133.0943396226415,A
116.02083333333333,138.29166666666666,B
123.5,136.78846153846155,A
133.79591836734693,135.51020408163265,A
140.72549019607843,134.31372549019608,B
149.63829787234042,131.2340425531915,B
159.82978723404256,134.12765957446808,B
169.26923076923077,132.44230769230768,B
166.75,138.6346153846154,A
179.375,137.04166666666666,A
89.42857142857143,149.46938775510205,A
94.13725490196079,140.4313725490196,B
97.53846153846153,144.98076923076923,A
103.30434782608695,145.15217391304347,B
113.20408163265306,148.14285714285714,B
123.16326530612245,144.81632653061226,B
133.2156862745098,145.0392156862745,A
129.10638297872342,139.2340425531915,B
139.85106382978722,142.74468085106383,B
152.02173913043478,140.84782608695653,B
162.86274509803923,143.6078431372549,B
155.94,137.58,A
174.30612244897958,139.77551020408163,B
172.33333333333334,145.41176470588235,A
87.6304347826087,150.2173913043478,B
96.15384615384616,151.15384615384616,B
98.74468085106383,155.87234042553192,A
109.96078431372548,141.41176470588235,A
118.15686274509804,147.58823529411765,A
119.08510638297872,156.17021276595744,B
129.55102040816325,156.51020408163265,B
138.51020408163265,150.51020408163265,B
146.04166666666666,144.16666666666666,A
149.83673469387756,149.42857142857142,B
154.38,150.54,A
162.0,148.28,A
169.3673469387755,151.9591836734694,B
178.01923076923077,148.25,B
92.84782608695652,161.67391304347825,B
105.23913043478261,158.54347826086956,B
112.07692307692308,154.25,A
105.31914893617021,150.25531914893617,A
127.4423076923077,148.40384615384616,A
124.59574468085107,157.40425531914894,A
135.52941176470588,154.92156862745097,A
139.18,161.02,B
149.0612244897959,157.6326530612245,B
159.84615384615384,154.01923076923077,B
165.14583333333334,158.41666666666666,A
171.80851063829786,156.53191489361703,A
98.53061224489795,162.20408163265307,A
105.42857142857143,164.81632653061226,A
111.86,162.5,A
115.55319148936171,169.72340425531914,A
118.63829787234043,162.48936170212767,A
132.9387755102041,163.81632653061226,A
140.32,168.36,A
144.2,153.36,A
152.17021276595744,165.08510638297872,B
157.12,160.82,A
163.62,164.82,B
100.64583333333333,169.8125,A
107.58823529411765,170.84313725490196,B
111.28571428571429,175.87755102040816,A
122.79591836734694,168.55102040816325,A
127.72916666666667,166.85416666666666,A
132.02,171.46,B
140.98,176.86,B
150.94117647058823,173.7058823529412,B
157.55102040816325,169.75510204081633,A
117.89583333333333,176.66666666666666,B
123.49019607843137,176.1764705882353,A
128.9787234042553,178.80851063829786,A
135.70833333333334,176.16666666666666,A
146.91836734693877,171.85714285714286,A
146.44,163.12,A
