centroides_x,centroides_y,id
107.41666666666667,85.01388888888889,A
112.04054054054055,83.16216216216216,A
120.23611111111111,83.18055555555556,A
123.26388888888889,78.16666666666667,B
133.27027027027026,82.58108108108108,A
153.22972972972974,84.1891891891892,A
140.75714285714287,79.58571428571429,B
95.94594594594595,92.14864864864865,A
107.9041095890411,89.10958904109589,A
102.09859154929578,82.45070422535211,B
116.80555555555556,85.15277777777777,B
131.04054054054055,84.78378378378379,A
140.85333333333332,88.30666666666667,A
138.2173913043478,85.52173913043478,B
161.24,87.26666666666667,A
158.5441176470588,85.47058823529412,B
162.8695652173913,87.18840579710145,B
88.82666666666667,100.81333333333333,A
90.0,97.8961038961039,A
103.58571428571429,101.78571428571429,A
102.08823529411765,92.97058823529412,B
118.12857142857143,95.27142857142857,B
127.90140845070422,98.0,A
131.96923076923076,93.72307692307692,B
150.75342465753425,95.20547945205479,A
161.27397260273972,95.32876712328768,A
155.08695652173913,95.78260869565217,B
172.8840579710145,96.68115942028986,B
181.86764705882354,104.26470588235294,B
83.57333333333334,113.17333333333333,A
89.84931506849315,94.78082191780823,B
94.1891891891892,115.06756756756756,A
109.83783783783784,109.67567567567568,A
115.63888888888889,103.91666666666667,A
118.27536231884058,101.79710144927536,B
134.22058823529412,105.27941176470588,B
141.55555555555554,100.38888888888889,A
147.2876712328767,100.64383561643835,A
147.68571428571428,101.48571428571428,B
161.4848484848485,105.86363636363636,B
171.86567164179104,103.02985074626865,B
174.8783783783784,97.32432432432432,A
81.95833333333333,103.58333333333333,B
84.18055555555556,119.36111111111111,A
94.22058823529412,107.8529411764706,B
101.81944444444444,113.40277777777777,A
112.73239436619718,107.61971830985915,B
120.66197183098592,113.50704225352112,A
130.71014492753622,108.65217391304348,A
137.84722222222223,114.83333333333333,A
140.61290322580646,113.24193548387096,B
158.05714285714285,113.34285714285714,A
155.1969696969697,115.06060606060606,B
172.16883116883116,101.57142857142857,A
178.5194805194805,108.33766233766234,A
182.57142857142858,118.22857142857143,B
83.51470588235294,113.58823529411765,B
82.45205479452055,126.53424657534246,A
98.33846153846154,118.8923076923077,B
103.88888888888889,123.56944444444444,A
115.86567164179104,120.07462686567165,B
123.3529411764706,117.32352941176471,B
126.36486486486487,120.4054054054054,A
143.16666666666666,118.625,A
139.42424242424244,121.37878787878788,B
149.5909090909091,124.25757575757575,B
160.3125,121.640625,B
169.08333333333334,125.06944444444444,B
181.15277777777777,123.65277777777777,B
182.1095890410959,114.98630136986301,A
79.57971014492753,125.89855072463769,B
89.53623188405797,127.30434782608695,B
91.21333333333334,136.13333333333333,A
105.16666666666667,130.875,A
111.07462686567165,126.25373134328358,B
123.97101449275362,127.46376811594203,B
123.61428571428571,130.07142857142858,A
142.88732394366198,128.4788732394366,A
146.07462686567163,131.8955223880597,B
157.55555555555554,126.22222222222223,A
161.93333333333334,119.33333333333333,A
