,topology_ad_carcinoma_2_clean.csv,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_9_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_2_clean.csv,0.0,1633.1102258315755,844.5946817284987,954.5109122830422,1492.3636041248574,1821.2995609345628,760.1142975181763,667.3491460949054,1812.261704563939,1601.2151943891258,1219.720427236927,1616.103480355537
topology_ad_carcinoma_10_clean.csv,1633.1102258315755,0.0,1214.6071902705494,1260.5583042374826,1292.3415586332417,1859.6619799329212,1521.419125395019,1619.3441628507655,1541.546195736206,2087.8716924641967,1229.9061772242942,1976.9858775922648
topology_ad_carcinoma_9_clean.csv,844.5946817284987,1214.6071902705494,0.0,816.4041639544996,1175.9289137723533,1761.7813773490277,889.3716884727098,936.6437353304289,1608.3978555644783,1674.0894774298852,1078.0240497765235,1654.0084445345437
topology_ad_carcinoma_1_clean.csv,954.5109122830422,1260.5583042374826,816.4041639544996,0.0,1364.361500638485,1423.9995510348392,783.6516560492795,794.7136283434271,1258.1601197827777,1371.4405495595627,727.0596066520975,1326.4337597849226
topology_ad_carcinoma_8_clean.csv,1492.3636041248574,1292.3415586332417,1175.9289137723533,1364.361500638485,0.0,1688.887404320618,1537.557177178947,1686.0457839706605,1482.5260446812981,1972.8036636210109,1341.5538115441516,1814.4278367910679
topology_ad_carcinoma_4_clean.csv,1821.2995609345628,1859.6619799329212,1761.7813773490277,1423.9995510348392,1688.887404320618,0.0,1360.4570080981441,1511.4988658239024,829.9178239432937,956.5859384195362,1066.4393009019227,751.5811840864003
topology_ad_carcinoma_12_clean.csv,760.1142975181763,1521.419125395019,889.3716884727098,783.6516560492795,1537.557177178947,1360.4570080981441,0.0,543.1374031093543,1376.6092350864767,1175.7738809791074,916.5617335132494,1193.0584144913555
topology_ad_carcinoma_15_clean.csv,667.3491460949054,1619.3441628507655,936.6437353304289,794.7136283434271,1686.0457839706605,1511.4988658239024,543.1374031093543,0.0,1560.0640578227597,1284.6328792232675,1036.5433793059492,1301.5481890747676
topology_ad_carcinoma_5_clean.csv,1812.261704563939,1541.546195736206,1608.3978555644783,1258.1601197827777,1482.5260446812981,829.9178239432937,1376.6092350864767,1560.0640578227597,0.0,1162.4190462260726,928.1570508795189,969.0281900081378
topology_ad_carcinoma_6_clean.csv,1601.2151943891258,2087.8716924641967,1674.0894774298852,1371.4405495595627,1972.8036636210109,956.5859384195362,1175.7738809791074,1284.6328792232675,1162.4190462260726,0.0,1184.6634821409664,515.42508542309
topology_ad_carcinoma_7_clean.csv,1219.720427236927,1229.9061772242942,1078.0240497765235,727.0596066520975,1341.5538115441516,1066.4393009019227,916.5617335132494,1036.5433793059492,928.1570508795189,1184.6634821409664,0.0,1121.7671380264096
topology_ad_carcinoma_13_clean.csv,1616.103480355537,1976.9858775922648,1654.0084445345437,1326.4337597849226,1814.4278367910679,751.5811840864003,1193.0584144913555,1301.5481890747676,969.0281900081378,515.42508542309,1121.7671380264096,0.0
