dimension,birth,death
1,5.18359372334487,7.644055769904268
1,5.230163695416795,7.576817489243485
1,4.988151642114917,7.096985435269748
1,5.5823786578470225,7.672945294351736
1,5.413597916122284,7.501041594338749
1,5.390927562852627,7.463745111004611
1,5.415440075668074,7.40585230079521
1,5.818647112842213,7.70161115769891
1,5.377224266880318,7.222109932844154
1,5.144183493862317,6.977885531329699
1,5.483974798614285,7.260811783478623
1,5.3130743103085765,7.032015930049974
1,5.3895730539919295,7.040191402759763
1,5.422466086711694,7.036393005696327
1,5.339447113227434,6.941472223922496
1,5.402457160158416,6.982348715661915
1,5.780995964286833,7.342901731577849
1,5.3961563609061125,6.9491786172708645
1,5.373774984508735,6.893833696949084
1,6.49521993751664,7.968660415015405
1,5.4813020403156285,6.904844134229086
1,5.314448625918866,6.736475490997967
1,5.389880998302237,6.764074891772553
1,5.428255589202339,6.777432967808398
1,5.427146157411109,6.723496062948475
1,5.740644336530803,6.99868056540715
1,5.440950023833514,6.691036416890914
1,5.4112152054783405,6.614619322040405
1,5.253712001615462,6.451814111197235
1,5.311184207495581,6.494655922799567
1,5.320885651611677,6.492646606746947
1,5.710708543269888,6.877666458790176
1,5.518489548702155,6.670989244907306
1,5.420883826793505,6.5731752337102085
1,5.3476030172741575,6.486979447059468
1,5.365012763044732,6.4802730414064325
1,5.686414960330467,6.775952608656757
1,5.356032693536938,6.39602398734325
1,5.41993908129699,6.453864490668006
1,5.522680508593631,6.533361099482854
1,5.504286105652562,6.439171578102648
1,5.466478632608207,6.348171671045198
1,5.326890100480127,6.207405879681306
1,5.599167692916875,6.446150592512984
1,5.401210690491247,6.227180564089797
1,5.811413627050751,6.63604829745908
1,5.694539294603016,6.49801705751856
1,5.457525837611722,6.232175017272065
1,5.464017650858102,6.22749961696426
1,4.936289821267241,5.691819008728043
1,5.614285741172121,6.36300676583334
1,5.280969557429636,6.020040180171143
1,6.091863543027925,6.830349305679813
1,5.642907373696464,6.379275277116084
1,5.669260110815313,6.401457462819156
1,5.915024571276125,6.6376836359827935
1,5.854196709127662,6.569905276194499
1,5.287471765180871,6.00057867579822
1,6.054666834179319,6.753066730752345
1,5.504582106186476,6.193740875715012
1,5.3943729173646915,6.060481445650361
1,5.62258954775974,6.269157107916027
1,5.564925476379351,6.19831477502296
1,5.429628656449603,6.060066774471186
1,5.605935814442624,6.2329111537590505
1,5.200501081649527,5.804791151471979
1,5.200327179877998,5.788518328937421
1,5.10864233192444,5.682425659354983
1,5.821154628579271,6.381271332463886
1,5.3012470075172695,5.857436539545916
1,6.057202559486378,6.606898899423012
1,5.270810735075648,5.816252933456474
1,6.124245059680446,6.632480946196693
1,6.004216625335105,6.506938560729351
1,6.001610779743272,6.500726632265731
1,5.76729713042756,6.263785816509219
1,5.602811634921258,6.041522986797286
1,5.618673131185155,6.043214007360021
1,5.674921256304708,6.080043773214951
1,5.634560462444104,5.9931159067387485
1,5.428990412577907,5.772727272727273
1,5.385166821979767,5.724006971324985
1,5.653323751957285,5.9903983344837455
1,5.458856780991043,5.783426069627474
1,5.730502020772868,6.0507022511793025
