CellID,X_centroid,Y_centroid,phenotype,Cluster
924201,27067.14093959732,22757.194630872484,B cells,0
776085,29778.765853658537,22404.287804878048,B cells,1
530230,28426.110778443115,23134.8622754491,B cells,2
819294,30387.91054313099,22148.55271565495,B cells,3
591066,27348.80612244898,22866.1224489796,B cells,4
1013279,28546.31481481481,22994.796296296296,B cells,5
897833,29793.36403508772,22481.88157894737,B cells,6
838354,30414.513274336285,22160.58407079646,B cells,7
719231,27000.98976982097,23045.936061381075,CD4+ T cells,0
800258,28270.27027027027,22842.41891891892,CD4+ T cells,1
998918,27227.70588235294,23175.32773109244,CD4+ T cells,2
191142,27475.605128205127,22779.74871794872,CD4+ T cells,3
740253,28517.635135135137,22972.405405405407,CD4+ T cells,4
874325,26730.504,22547.144,CD4+ T cells,5
886970,28296.37391304348,23086.23478260869,CD4+ T cells,6
575120,26438.70192307692,22851.78846153846,CD4+ T cells,7
987736,27222.96062992126,22893.181102362203,CD4+ T cells,8
193149,27857.353333333333,22903.5,CD4+ T cells,9
579603,27352.775609756096,23012.51219512195,CD4+ T cells,10
918687,27985.57692307692,23218.20512820513,CD4+ T cells,11
918382,26740.912621359224,23056.563106796115,CD4+ T cells,12
824897,26929.752066115703,22815.553719008265,CD4+ T cells,13
729054,28512.149253731342,22821.10447761194,CD4+ T cells,14
797296,28494.549295774646,23190.83098591549,CD4+ T cells,15
698106,27423.910798122062,23189.323943661973,CD4+ T cells,16
730212,28677.481927710844,23056.85542168675,CD4+ T cells,17
424947,28161.061538461538,23178.776923076923,CD4+ T cells,18
708888,26340.33333333333,22622.011627906977,CD4+ T cells,19
574754,27318.39735099338,22714.490066225164,CD4+ T cells,20
939834,28169.92857142857,22816.14285714286,CD4+ T cells,21
509731,26428.12068965517,23059.46551724138,CD4+ T cells,22
1007047,26712.0,22931.5,CD4+ T cells,23
198812,26990.20571428572,22687.154285714285,CD4+ T cells,24
68864,26924.1875,22968.328125,CD4+ T cells,25
443423,27335.8046875,22849.2578125,CD4+ T cells,26
182656,27709.447916666668,22949.96875,CD4+ T cells,27
949407,28321.08219178082,22771.12328767123,CD4+ T cells,28
435858,28360.050925925927,22913.36111111111,CD4+ T cells,29
111836,27456.453531598512,22901.10408921933,CD4+ T cells,30
92862,26832.38139534884,22696.13953488372,CD4+ T cells,31
657363,27797.609375,22752.4765625,CD4+ T cells,32
1002999,26822.960784313724,22981.686274509804,CD4+ T cells,33
907310,27203.72857142857,22837.38571428572,CD4+ T cells,34
