CellID,X_centroid,Y_centroid,phenotype,Cluster
748135,22923.27118644068,21215.6186440678,B cells,0
753266,24555.565217391304,19947.478260869564,B cells,1
721055,23912.30149253732,20241.925373134327,B cells,2
452221,25373.96470588236,19729.666666666668,B cells,3
105925,23175.83625730994,20950.58479532164,B cells,4
769144,23633.36111111111,20414.21111111111,B cells,5
422757,24333.875968992248,19991.57364341085,B cells,6
683481,22864.228013029315,21242.928338762216,B cells,7
629428,24569.570652173912,19947.52173913044,B cells,8
758036,24564.379310344822,19936.206896551725,B cells,9
700436,25301.828828828828,19850.56156156156,CD4+ T cells,0
142966,22969.10796915167,21044.403598971723,CD4+ T cells,1
646541,23396.22448979592,22111.39285714286,CD4+ T cells,2
964532,24691.530303030304,20033.12121212121,CD4+ T cells,3
267896,23900.86,21004.95,CD4+ T cells,4
961191,24886.36322869956,19963.34080717489,CD4+ T cells,5
1000682,24420.516666666663,19814.5,CD4+ T cells,6
550415,25033.466666666667,20068.04074074074,CD4+ T cells,7
386135,25303.886597938144,20020.288659793816,CD4+ T cells,8
988554,25041.6551724138,19931.43103448276,CD4+ T cells,9
269541,25204.771573604063,19866.3654822335,CD4+ T cells,10
835473,24609.365384615383,20053.240384615383,CD4+ T cells,11
907229,24879.13333333333,19930.25,CD4+ T cells,12
229479,24306.35868005739,20602.41893830703,Ki67+ tumor cells ,0
838411,23003.52459016393,21049.936247723133,Ki67+ tumor cells ,1
647214,23366.52173913044,22196.33850931677,Ki67+ tumor cells ,2
755745,24940.83,20048.82,Ki67+ tumor cells ,3
154351,23519.319912948857,20287.920565832428,Ki67+ tumor cells ,4
988739,23435.772959183672,21317.61224489796,Ki67+ tumor cells ,5
241889,24108.10409745293,19922.642303433,Ki67+ tumor cells ,6
452658,25137.80790190736,19595.072207084468,Ki67+ tumor cells ,7
888399,24818.555023923444,19732.443381180223,Ki67+ tumor cells ,8
69386,23409.96631205674,20603.73581560284,Ki67+ tumor cells ,9
635345,24211.41686746988,20710.4578313253,Ki67+ tumor cells ,10
836054,22888.370277078087,21019.959697733,Ki67+ tumor cells ,11
101099,23449.78960817717,22148.4727427598,Ki67+ tumor cells ,12
712171,23416.359375,21226.893028846152,Ki67+ tumor cells ,13
100170,23465.728310502283,20363.23287671233,Ki67+ tumor cells ,14
895394,23420.631304347826,21381.70086956522,Ki67+ tumor cells ,15
727971,23034.284697508898,21018.15658362989,Ki67+ tumor cells ,16
36325,24238.77466367713,20686.59865470852,Ki67+ tumor cells ,17
3496,23490.953100158986,20306.056438791733,Ki67+ tumor cells ,18
413557,23465.10788863109,21323.14385150812,Ki67+ tumor cells ,19
751724,23362.198090692124,22223.14558472554,Ki67+ tumor cells ,20
827116,23421.36645962733,21303.226708074533,Ki67+ tumor cells ,21
956998,23033.84397163121,21037.39184397164,Ki67+ tumor cells ,22
638181,23016.049180327867,21012.17213114754,Ki67+ tumor cells ,23
289046,24181.26455026455,19864.724867724868,M1/M0 macrophages,0
146508,22984.3293768546,21016.127596439168,M1/M0 macrophages,1
719364,25305.839285714286,19933.51785714286,M1/M0 macrophages,2
1029802,24072.06382978724,20437.72340425532,M1/M0 macrophages,3
557581,23558.95535714286,20475.964285714286,M1/M0 macrophages,4
124358,23439.700272479564,21207.41961852861,M1/M0 macrophages,5
662650,24038.169724770643,20870.61009174312,M1/M0 macrophages,6
33808,24770.64360587002,19762.861635220124,M1/M0 macrophages,7
629039,22811.6,21334.36923076923,M1/M0 macrophages,8
172959,23193.47138047138,21040.40067340068,M1/M0 macrophages,9
923943,23612.747899159665,20264.529411764703,M1/M0 macrophages,10
575555,22858.15765765766,21075.68468468469,M1/M0 macrophages,11
981162,25489.321428571428,19930.3125,M1/M0 macrophages,12
565085,25176.37919463088,19879.54362416108,M1/M0 macrophages,13
520383,23436.536231884056,20432.659420289856,M1/M0 macrophages,14
35074,23465.90566037736,21293.183288409706,M1/M0 macrophages,15
539047,25218.64377682404,19977.87982832618,M1/M0 macrophages,16
429175,23476.48969072165,21127.644329896902,M1/M0 macrophages,17
745016,22930.92,21048.395,M1/M0 macrophages,18
1007508,22909.87234042553,21088.840425531915,M1/M0 macrophages,19
484468,23249.89078498293,21058.77815699659,M1/M0 macrophages,20
613847,24030.782894736843,20416.980263157893,M1/M0 macrophages,21
69472,23432.24,21245.86888888889,M1/M0 macrophages,22
783285,23447.49431818182,21171.63825757576,M1/M0 macrophages,23
882207,23565.65048543689,20460.3786407767,M1/M0 macrophages,24
744719,22903.503623188404,21099.666666666668,M1/M0 macrophages,25
658812,22926.203619909506,22134.55656108597,M2 macrophages,0
1015933,24071.89393939394,20585.81818181818,M2 macrophages,1
762023,23225.02863961814,21043.844868735083,M2 macrophages,2
271692,25083.557142857146,19832.314285714285,M2 macrophages,3
313831,23098.01935483871,21413.316129032257,M2 macrophages,4
759449,23854.054054054053,20838.804804804804,M2 macrophages,5
389864,23598.325991189427,20373.3127753304,M2 macrophages,6
726564,24365.46913580247,19867.15432098765,M2 macrophages,7
789284,22903.852842809363,21185.83277591973,M2 macrophages,8
396801,25490.1164021164,19741.46031746032,M2 macrophages,9
749448,23051.55135135135,21789.243243243243,M2 macrophages,10
783543,23886.791666666668,20311.277777777777,M2 macrophages,11
10197,23438.33755274261,20750.45780590717,M2 macrophages,12
402548,23497.81212121212,21070.50909090909,M2 macrophages,13
1030990,23444.042553191488,22119.61276595745,M2 macrophages,14
807164,24686.4140625,19863.8203125,M2 macrophages,15
139144,24215.22627737226,20116.21167883212,M2 macrophages,16
682064,23310.191616766468,21253.77245508982,M2 macrophages,17
607331,22738.191489361703,21212.686170212764,M2 macrophages,18
