CellID,X_centroid,Y_centroid,phenotype,Cluster
267680,28369.09852216749,23728.980295566504,CD4+ T cells,31
463863,28086.372413793106,23300.60689655172,CD4+ T cells,32
709856,28282.005,23370.925,CD4+ T cells,33
956320,27256.18,23396.06,CD4+ T cells,34
890527,28491.296650717704,23452.67942583732,CD4+ T cells,35
942744,28331.716216216217,23624.45945945946,CD4+ T cells,36
721159,28522.20238095238,23743.48809523809,CD4+ T cells,37
1015739,28575.43298969072,23656.76288659794,CD4+ T cells,38
618277,27407.793103448275,23266.30603448276,CD4+ T cells,39
320142,29632.344444444443,23938.51111111111,CD4+ T cells,40
477434,27497.475409836065,23501.975409836065,CD4+ T cells,41
460813,28298.07299270073,23755.014598540147,CD4+ T cells,42
1017375,28656.907975460123,23727.067484662577,CD4+ T cells,43
579298,30237.15343915344,23381.661375661377,CD4+ T cells,44
871155,29464.596153846152,23714.20192307692,CD4+ T cells,45
557732,28370.32298136646,23664.68944099379,CD4+ T cells,46
240207,28215.80165289256,23216.14049586777,CD4+ T cells,47
64024,28810.54676258993,23829.172661870503,CD4+ T cells,48
934468,28404.32786885246,23788.69945355191,CD4+ T cells,49
1004659,28552.69,23777.8,CD4+ T cells,50
1010087,28554.5,23433.6875,CD4+ T cells,51
617928,27137.19491525424,23280.580508474577,CD4+ T cells,52
816253,27371.280701754386,23248.6701754386,CD4+ T cells,53
687147,28610.93893129771,23782.335877862595,CD4+ T cells,54
205574,29172.74125874126,23715.8041958042,CD4+ T cells,55
954518,28714.092391304348,23683.47282608696,CD4+ T cells,56
499698,27532.71825396825,23414.626984126982,CD4+ T cells,57
426117,28524.56976744186,23619.72674418605,CD4+ T cells,58
999880,28907.818965517243,23846.396551724138,CD4+ T cells,59
705187,27449.95808383233,23273.76047904192,CD4+ T cells,60
463848,27948.90963855421,23231.68674698795,CD4+ T cells,61
586640,27170.069069069068,23277.045045045044,CD4+ T cells,62
187716,28757.81081081081,23672.73873873874,CD4+ T cells,63
17963,28507.51396648045,23742.6312849162,CD4+ T cells,64
226448,31134.25656877898,23666.16383307573,Ki67+ tumor cells ,0
