,-9_0_0_A.csv,9_0_0_A.csv,7_0_0_A.csv,5_0_0_A.csv,1_0_0_A.csv,-5_0_0_A.csv,3_0_0_A.csv,-1_0_0_A.csv,-7_0_0_A.csv,-3_0_0_A.csv
-9_0_0_A.csv,1.8467302885772046e-308,5.203191556267084,5.031414493671981,5.457966784137875,4.793953258764848,6.269284903648893,5.100511975101961,1.2878460629041841,5.027567842824004,4.507992060604364
9_0_0_A.csv,5.203191556267084,1.02061796676473e-308,3.870155686109058,4.319314764487787,2.7943898255328286,4.968595227121533,4.085751223738683,5.340866233543791,5.334994688776396,4.93795048929433
7_0_0_A.csv,5.031414493671981,3.870155686109058,2.1264080375644936e-308,4.331327804622855,3.0433846746308264,4.9135491125591635,3.9639278329778147,5.169089170948688,5.000977040982528,4.904943261115408
5_0_0_A.csv,5.457966784137875,4.319314764487787,4.331327804622855,1.1587627338386145e-308,3.646985027629454,5.511719103892778,4.1682811875511145,5.301595139105293,5.511719103892778,5.364903755678412
1_0_0_A.csv,4.793953258764848,2.7943898255328286,3.0433846746308264,3.646985027629454,1.1233780945781373e-308,4.657507921058462,3.4555240849093787,4.7666051835429695,5.689090552572125,4.639410137376215
-5_0_0_A.csv,6.269284903648893,4.968595227121533,4.9135491125591635,5.511719103892778,4.657507921058462,1.2837880706840743e-308,5.0413328033670055,6.4069595809256,7.387832318718862,3.139925862428494
3_0_0_A.csv,5.100511975101961,4.085751223738683,3.9639278329778147,4.1682811875511145,3.4555240849093787,5.0413328033670055,9.102096661655827e-309,4.9736397493133655,5.118319462460345,4.964155860040835
-1_0_0_A.csv,1.2878460629041841,5.340866233543791,5.169089170948688,5.301595139105293,4.7666051835429695,6.4069595809256,4.9736397493133655,1.264784675059559e-308,5.277431183352309,4.64566673788107
-7_0_0_A.csv,5.027567842824004,5.334994688776396,5.000977040982528,5.511719103892778,5.689090552572125,7.387832318718862,5.118319462460345,5.277431183352309,1.8105123265035214e-308,4.582000142839652
-3_0_0_A.csv,4.507992060604364,4.93795048929433,4.904943261115408,5.364903755678412,4.639410137376215,3.139925862428494,4.964155860040835,4.64566673788107,4.582000142839652,2.146506032381104e-308
