,-3_0_0.csv,9_0_0.csv,-1_0_0.csv,-5_0_0.csv,3_0_0.csv,5_0_0.csv,-9_0_0.csv,7_0_0.csv,1_0_0.csv,-7_0_0.csv
-3_0_0.csv,0.0,65.10334279495108,22.45496971252014,32.112019417251325,62.326929289998105,51.850759088399364,30.731330303152433,55.99729082033046,55.03685653844211,33.82546421220915
9_0_0.csv,65.10334279495108,0.0,63.322955455598674,72.25528798114718,21.701556667994698,24.04673377979078,64.66702066938002,19.087977538502834,21.686932874973436,73.18603152972017
-1_0_0.csv,22.45496971252014,63.322955455598674,0.0,34.99549551817539,62.39514798464762,50.426103514446865,34.46714931374361,54.888608427344835,52.66154985097073,40.896502302158154
-5_0_0.csv,32.112019417251325,72.25528798114718,34.99549551817539,0.0,69.0506470193657,61.826364368555566,27.93541879588761,61.6326517122401,65.35801669781308,22.795073313123467
3_0_0.csv,62.326929289998105,21.701556667994698,62.39514798464762,69.0506470193657,0.0,20.867810318560963,62.974158218843684,24.057620883304224,24.105998104862117,71.69527333344438
5_0_0.csv,51.850759088399364,24.04673377979078,50.426103514446865,61.826364368555566,20.867810318560963,0.0,56.75137195902106,21.5919939513765,20.453148357060883,63.660096727707796
-9_0_0.csv,30.731330303152433,64.66702066938002,34.46714931374361,27.93541879588761,62.974158218843684,56.75137195902106,0.0,55.33547920939613,58.254628750333694,29.093744574778462
7_0_0.csv,55.99729082033046,19.087977538502834,54.888608427344835,61.6326517122401,24.057620883304224,21.5919939513765,55.33547920939613,0.0,20.7735456975928,62.8372541608948
1_0_0.csv,55.03685653844211,21.686932874973436,52.66154985097073,65.35801669781308,24.105998104862117,20.453148357060883,58.254628750333694,20.7735456975928,0.0,66.03269351300546
-7_0_0.csv,33.82546421220915,73.18603152972017,40.896502302158154,22.795073313123467,71.69527333344438,63.660096727707796,29.093744574778462,62.8372541608948,66.03269351300546,0.0
