centroides_x,centroides_y,id
35.206896551724135,16.75862068965517,1
41.083333333333336,16.916666666666668,2
63.904761904761905,16.761904761904763,6
26.22222222222222,22.666666666666668,8
30.653846153846153,19.653846153846153,9
41.89473684210526,21.57894736842105,11
48.56,23.2,12
49.76923076923077,18.153846153846153,13
56.708333333333336,18.333333333333332,14
61.041666666666664,23.416666666666668,15
67.95833333333333,23.041666666666668,16
72.03448275862068,17.79310344827586,17
77.18518518518519,21.814814814814813,18
21.772727272727273,26.363636363636363,19
26.291666666666668,28.791666666666668,20
30.565217391304348,25.08695652173913,21
35.44,26.8,22
42.0,25.5,23
47.44,27.8,24
53.24,27.04,25
67.5,29.933333333333334,28
74.72,27.32,30
34.925925925925924,32.592592592592595,34
40.3,32.6,35
46.375,33.166666666666664,37
58.3235294117647,30.205882352941178,39
78.75,32.67857142857143,43
83.78571428571429,28.607142857142858,44
22.533333333333335,34.36666666666667,47
30.392857142857142,36.785714285714285,48
36.0,38.22727272727273,49
52.32258064516129,37.096774193548384,52
58.964285714285715,42.75,53
63.892857142857146,36.57142857142857,55
73.2258064516129,38.45161290322581,56
87.41666666666667,35.208333333333336,59
20.096774193548388,42.32258064516129,61
25.0,43.0,62
30.25,42.458333333333336,63
42.333333333333336,41.24242424242424,65
81.25925925925925,40.7037037037037,73
87.18518518518519,41.407407407407405,74
28.5,47.5,77
32.91304347826087,47.21739130434783,78
38.5,47.11538461538461,79
51.53846153846154,44.96153846153846,82
66.68,43.44,86
76.73076923076923,46.88461538461539,87
86.67857142857143,47.75,89
18.0,51.689655172413794,90
25.423076923076923,52.07692307692308,92
31.2,52.44,93
39.833333333333336,53.72222222222222,94
53.75,51.375,97
61.93103448275862,51.03448275862069,99
70.76923076923077,50.26923076923077,101
80.61904761904762,50.76190476190476,102
16.384615384615383,58.0,105
19.8125,61.8125,106
26.0,57.5,107
36.25925925925926,57.18518518518518,109
45.1,51.333333333333336,111
53.714285714285715,56.142857142857146,112
57.13636363636363,59.0,113
65.17391304347827,56.43478260869565,114
74.20689655172414,56.41379310344828,116
82.0,59.31428571428572,117
16.583333333333332,64.5,120
23.4,62.25,121
27.761904761904763,62.61904761904762,122
33.69230769230769,62.84615384615385,123
42.714285714285715,61.38095238095238,125
47.72,58.52,126
57.55555555555556,63.888888888888886,128
61.34782608695652,61.391304347826086,129
65.77272727272727,64.4090909090909,130
71.08695652173913,61.95652173913044,131
16.583333333333332,70.79166666666667,135
20.25,67.05,136
25.0,67.0,137
30.0,66.5,138
40.888888888888886,66.55555555555556,140
50.4,63.95,142
55.95238095238095,68.61904761904762,143
60.75,66.95,144
64.84615384615384,69.11538461538461,145
76.10344827586206,65.55172413793103,147
83.10714285714286,67.42857142857143,148
87.41666666666667,71.54166666666667,149
26.833333333333332,71.54166666666667,151
31.772727272727273,73.13636363636364,152
37.36363636363637,71.5,153
47.13333333333333,71.86666666666666,155
50.666666666666664,68.875,156
58.7037037037037,77.14814814814815,157
59.5,72.0,158
71.27586206896552,71.37931034482759,159
21.806451612903224,76.54838709677419,163
30.666666666666668,80.23333333333333,165
41.72727272727273,77.42424242424242,167
51.83870967741935,79.35483870967742,170
67.11538461538461,76.84615384615384,172
71.71428571428571,81.35714285714286,173
77.5,74.83333333333333,174
82.04545454545455,77.86363636363636,175
63.93103448275862,83.44827586206897,183
74.875,85.08333333333333,186
38.935483870967744,84.54838709677419,189
48.0,86.62068965517241,190
57.0,86.5,191
