,-5_0_0_B.csv,-1_0_0_B.csv,7_0_0_B.csv,1_0_0_B.csv,-9_0_0_B.csv,-3_0_0_B.csv,-7_0_0_B.csv,5_0_0_B.csv,9_0_0_B.csv,3_0_0_B.csv
-5_0_0_B.csv,1.821920133066499e-308,3.9364606151607404,4.675392668685149,4.37295814910839,4.230232194386467,3.9364606151607404,3.9364606151607404,4.37295814910839,4.37295814910839,4.37295814910839
-1_0_0_B.csv,3.9364606151607404,1.143215137177102e-308,6.05446743198279,6.05446743198279,3.8270628710368726,4.355610623893718,1.9043519006911112,6.05446743198279,6.05446743198279,6.05446743198279
7_0_0_B.csv,4.675392668685149,6.05446743198279,1.8883077619341904e-308,1.3236143055974718,4.781691606953936,4.675392668685149,6.039368268671945,3.4019411315001626,3.088276944586795,3.088276944586795
1_0_0_B.csv,4.37295814910839,6.05446743198279,1.3236143055974718,2.14788232042687e-308,4.781691606953936,3.7652247637292025,6.039368268671945,2.3042180832414196,3.4390174282125585,2.9595268122410427
-9_0_0_B.csv,4.230232194386467,3.8270628710368726,4.781691606953936,4.781691606953936,1.57527499508959e-308,3.8270628710368726,3.8270628710368726,4.781691606953936,4.781691606953936,4.781691606953936
-3_0_0_B.csv,3.9364606151607404,4.355610623893718,4.675392668685149,3.7652247637292025,3.8270628710368726,1.836983680482832e-308,2.8741200532315503,3.2877461236067216,3.2877461236067216,3.918040604837395
-7_0_0_B.csv,3.9364606151607404,1.9043519006911112,6.039368268671945,6.039368268671945,3.8270628710368726,2.8741200532315503,1.5312082620539676e-308,6.039368268671945,6.039368268671945,6.039368268671945
5_0_0_B.csv,4.37295814910839,6.05446743198279,3.4019411315001626,2.3042180832414196,4.781691606953936,3.2877461236067216,6.039368268671945,1.423823207584448e-308,1.9110767287642556,1.9110767287642556
9_0_0_B.csv,4.37295814910839,6.05446743198279,3.088276944586795,3.4390174282125585,4.781691606953936,3.2877461236067216,6.039368268671945,1.9110767287642556,1.6577493364912204e-308,1.2888546714222926
3_0_0_B.csv,4.37295814910839,6.05446743198279,3.088276944586795,2.9595268122410427,4.781691606953936,3.918040604837395,6.039368268671945,1.9110767287642556,1.2888546714222926,1.255683392297873e-308
