,-9_0_0_A.csv,9_0_0_A.csv,7_0_0_A.csv,5_0_0_A.csv,1_0_0_A.csv,-5_0_0_A.csv,3_0_0_A.csv,-1_0_0_A.csv,-7_0_0_A.csv,-3_0_0_A.csv
-9_0_0_A.csv,1.707797572456326e-308,2.223986695802079,2.183776871670208,3.142878261726585,2.078085331925177,3.3552994789205224,2.5184998224691117,4.5385152141932394,3.3552994789205224,1.4792055557800445
9_0_0_A.csv,2.223986695802079,2.181574175684882e-308,1.8428440877362,2.6498027212048463,1.0509673575570488,3.210952443222375,1.1945558301989738,4.5385152141932394,3.210952443222375,2.6611220824380286
7_0_0_A.csv,2.183776871670208,1.8428440877362,1.2886164401425565e-308,1.9505190413601703,1.6313068879764643,3.4875974046999527,1.5573988877569924,4.5385152141932394,3.4875974046999527,2.1945919644401854
5_0_0_A.csv,3.142878261726585,2.6498027212048463,1.9505190413601703,1.867131147287893e-308,2.5015474789851755,3.1996102200909426,1.9003398090092247,4.5385152141932394,3.1996102200909426,3.142878261726585
1_0_0_A.csv,2.078085331925177,1.0509673575570488,1.6313068879764643,2.5015474789851755,1.502755566879489e-308,3.3674856427971465,1.3200028653672877,4.5385152141932394,3.3674856427971465,2.60026036634315
-5_0_0_A.csv,3.3552994789205224,3.210952443222375,3.4875974046999527,3.1996102200909426,3.3674856427971465,1.8585973746561487e-308,2.9163878575802222,4.5385152141932394,2.3069254826662906,2.574469470315708
3_0_0_A.csv,2.5184998224691117,1.1945558301989738,1.5573988877569924,1.9003398090092247,1.3200028653672877,2.9163878575802222,1.220531156466797e-308,4.5385152141932394,2.9163878575802222,2.90136012341949
-1_0_0_A.csv,4.5385152141932394,4.5385152141932394,4.5385152141932394,4.5385152141932394,4.5385152141932394,4.5385152141932394,4.5385152141932394,1.870599555233372e-308,4.5385152141932394,4.5385152141932394
-7_0_0_A.csv,3.3552994789205224,3.210952443222375,3.4875974046999527,3.1996102200909426,3.3674856427971465,2.3069254826662906,2.9163878575802222,4.5385152141932394,2.0899632854311666e-308,2.574469470315708
-3_0_0_A.csv,1.4792055557800445,2.6611220824380286,2.1945919644401854,3.142878261726585,2.60026036634315,2.574469470315708,2.90136012341949,4.5385152141932394,2.574469470315708,2.0401295688509417e-308
