,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_10_clean.csv,0.0,7138.974383281396,2175.444237356847,7546.105859930248,8807.588019097046,11023.848647153858,5687.444309321593,12587.401719349253,6085.622629967597,10954.21936256317
topology_ad_carcinoma_1_clean.csv,7138.974383281396,0.0,7209.237003730154,6025.814505126488,2627.038800958211,4206.45575683844,4826.643687727552,6334.506004945092,2718.111941968309,5862.641347706979
topology_ad_carcinoma_8_clean.csv,2175.444237356847,7209.237003730154,0.0,6906.7598857946605,9325.852101307893,11213.349408877179,5596.8650442012695,13230.032351766515,6667.679291267854,11560.765638120345
topology_ad_carcinoma_4_clean.csv,7546.105859930248,6025.814505126488,6906.7598857946605,0.0,5501.300464787749,8298.509138548636,1985.5706271792908,6564.439389307353,3564.2004164771656,4912.719229663426
topology_ad_carcinoma_12_clean.csv,8807.588019097046,2627.038800958211,9325.852101307893,5501.300464787749,0.0,2846.5474321710403,5202.6566254161135,4003.5642825759246,3185.231440033477,3906.0739193994823
topology_ad_carcinoma_15_clean.csv,11023.848647153858,4206.45575683844,11213.349408877179,8298.509138548636,2846.5474321710403,0.0,7821.806899145047,5540.534756098088,5683.397082612724,6259.919811619046
topology_ad_carcinoma_5_clean.csv,5687.444309321593,4826.643687727552,5596.8650442012695,1985.5706271792908,5202.6566254161135,7821.806899145047,0.0,7862.127164268178,2243.8772081312945,6227.606837100868
topology_ad_carcinoma_6_clean.csv,12587.401719349253,6334.506004945092,13230.032351766515,6564.439389307353,4003.5642825759246,5540.534756098088,7862.127164268178,0.0,6628.10207094812,1796.8340511062643
topology_ad_carcinoma_7_clean.csv,6085.622629967597,2718.111941968309,6667.679291267854,3564.2004164771656,3185.231440033477,5683.397082612724,2243.8772081312945,6628.10207094812,0.0,5024.155887768776
topology_ad_carcinoma_13_clean.csv,10954.21936256317,5862.641347706979,11560.765638120345,4912.719229663426,3906.0739193994823,6259.919811619046,6227.606837100868,1796.8340511062643,5024.155887768776,0.0
