,topology_ad_carcinoma_10_clean.csv,topology_ad_carcinoma_1_clean.csv,topology_ad_carcinoma_8_clean.csv,topology_ad_carcinoma_4_clean.csv,topology_ad_carcinoma_12_clean.csv,topology_ad_carcinoma_15_clean.csv,topology_ad_carcinoma_5_clean.csv,topology_ad_carcinoma_6_clean.csv,topology_ad_carcinoma_7_clean.csv,topology_ad_carcinoma_13_clean.csv
topology_ad_carcinoma_10_clean.csv,6.25746558974273e-309,31.135504744559654,31.010743325210058,38.40925318207897,29.077215961379615,36.0942122443854,45.102363309204094,50.577031416813725,18.782374234386737,60.10439990976272
topology_ad_carcinoma_1_clean.csv,31.135504744559654,1.0229777592174094e-308,41.14225185727666,31.772013508531217,24.26053212050668,28.91248854330229,31.772013508531217,31.772013508531217,31.772013508531217,29.521979635689846
topology_ad_carcinoma_8_clean.csv,31.010743325210058,41.14225185727666,1.235608373272246e-308,48.55707941447173,35.322886871555056,46.24203847677816,54.55609830763862,60.724857649206484,34.79846991625328,61.985577153748906
topology_ad_carcinoma_4_clean.csv,38.40925318207897,31.772013508531217,48.55707941447173,1.614823619118254e-308,22.788229227624683,26.27955971648828,17.08915487553466,35.91515106197765,19.626878947692234,26.727883035146675
topology_ad_carcinoma_12_clean.csv,29.077215961379615,24.26053212050668,35.322886871555056,22.788229227624683,7.08489059093145e-309,16.461130367742484,25.052715493407575,25.401970777651428,14.005410492909292,32.97826160949177
topology_ad_carcinoma_15_clean.csv,36.0942122443854,28.91248854330229,46.24203847677816,26.27955971648828,16.461130367742484,1.225528673844969e-308,22.894621165743843,31.197290470540253,17.311838009998667,31.197290470540253
topology_ad_carcinoma_5_clean.csv,45.102363309204094,31.772013508531217,54.55609830763862,17.08915487553466,25.052715493407575,22.894621165743843,7.92583791360705e-309,27.81384334989464,26.319989074817357,20.03477290802155
topology_ad_carcinoma_6_clean.csv,50.577031416813725,31.772013508531217,60.724857649206484,35.91515106197765,25.401970777651428,31.197290470540253,27.81384334989464,9.25341940170762e-309,31.794657182426988,17.06289061846128
topology_ad_carcinoma_7_clean.csv,18.782374234386737,31.772013508531217,34.79846991625328,19.626878947692234,14.005410492909292,17.311838009998667,26.319989074817357,31.794657182426988,1.620585621103708e-308,43.177310058334186
topology_ad_carcinoma_13_clean.csv,60.10439990976272,29.521979635689846,61.985577153748906,26.727883035146675,32.97826160949177,31.197290470540253,20.03477290802155,17.06289061846128,43.177310058334186,6.619692894199375e-309
