,-9_0_0_A.csv,9_0_0_A.csv,7_0_0_A.csv,5_0_0_A.csv,1_0_0_A.csv,-5_0_0_A.csv,3_0_0_A.csv,-1_0_0_A.csv,-7_0_0_A.csv,-3_0_0_A.csv
-9_0_0_A.csv,0.0,29.199926796413543,32.99006966388016,35.00011447354058,38.330535887228294,8.814883026084424,40.49165912593779,13.971768766181231,5.66549454872707,5.976949284775534
9_0_0_A.csv,29.199926796413543,0.0,16.273319232425173,34.86620150820396,17.23983870504101,34.64431338018082,19.351106794258087,42.469754947185926,34.163480729731766,34.57224466248047
7_0_0_A.csv,32.99006966388016,16.273319232425173,0.0,35.33205564570948,20.9337068984613,38.5765343310691,23.295610334538942,46.47732306603089,38.20957400676589,38.78055426440217
5_0_0_A.csv,35.00011447354058,34.86620150820396,35.33205564570948,0.0,39.72656682847295,41.57980798065,27.212297928990413,47.946051441833745,39.639777224379586,39.96966449735264
1_0_0_A.csv,38.330535887228294,17.23983870504101,20.9337068984613,39.72656682847295,0.0,43.600146998602895,19.244446867903402,52.092478597340886,43.83182933345148,44.00973464535406
-5_0_0_A.csv,8.814883026084424,34.64431338018082,38.5765343310691,41.57980798065,43.600146998602895,0.0,46.00971812812591,14.554055712423656,6.405278603437651,10.107720287809055
3_0_0_A.csv,40.49165912593779,19.351106794258087,23.295610334538942,27.212297928990413,19.244446867903402,46.00971812812591,0.0,53.22458041460621,45.03058813798333,45.091779647937116
-1_0_0_A.csv,13.971768766181231,42.469754947185926,46.47732306603089,47.946051441833745,52.092478597340886,14.554055712423656,53.22458041460621,0.0,9.472329310869885,14.202534608056915
-7_0_0_A.csv,5.66549454872707,34.163480729731766,38.20957400676589,39.639777224379586,43.83182933345148,6.405278603437651,45.03058813798333,9.472329310869885,0.0,6.616810718916128
-3_0_0_A.csv,5.976949284775534,34.57224466248047,38.78055426440217,39.96966449735264,44.00973464535406,10.107720287809055,45.091779647937116,14.202534608056915,6.616810718916128,0.0
