,topology_carcinoma_10_clean.csv,topology_carcinoma_2_clean.csv,topology_carcinoma_20_clean.csv,topology_carcinoma_4_clean.csv,topology_carcinoma_17_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,0.0,16791.54521637739,13435.398337125214,10048.315781545265,21371.173215179297,17486.712853389014,4902.296294932015,13853.868002646763,10785.181499466496,6166.032281614834,21455.223715934662,10613.472470570841,28472.573775487515,13886.316388071436,12267.198309530173,9157.170213631702
topology_carcinoma_2_clean.csv,16791.54521637739,0.0,12666.436511246491,8339.03740097858,34266.607376845146,30534.329915327922,21555.008067528353,29196.40022136709,23266.738267282308,11509.712696788058,34439.32826175271,12373.369723095639,40421.361025595026,22759.200931824333,7545.954721689186,11781.443643750681
topology_carcinoma_20_clean.csv,13435.398337125214,12666.436511246491,0.0,12243.291396426695,22451.310724496107,19715.7928725178,17210.66320149533,21895.73537971823,14013.880839209103,12649.467004268135,22746.248600158066,3886.3497371808344,28600.665073936565,11295.660052104662,5750.932941263867,4516.224312096323
topology_carcinoma_4_clean.csv,10048.315781545265,8339.03740097858,12243.291396426695,0.0,31229.813007840847,27392.643690053257,14346.420622629972,23762.897840493766,19765.22574117904,4435.092130913699,31354.76323154303,11130.083587892457,37316.65929580628,19895.01155313975,7359.619048725571,9264.412833591168
topology_carcinoma_17_clean.csv,21371.173215179297,34266.607376845146,22451.310724496107,31229.813007840847,0.0,4650.646350341686,17857.836834898986,11078.85738339389,11586.360792106429,27258.542485559785,2549.9516681151063,22056.198451047003,7814.160692345212,12608.308620010446,27517.151672494325,22583.27195481929
topology_carcinoma_7_clean.csv,17486.712853389014,30534.329915327922,19715.7928725178,27392.643690053257,4650.646350341686,0.0,13488.883530857065,6655.543147879778,7749.268805438963,23376.581776512397,4101.815781134845,18807.104387570245,11987.933914019088,9056.239341291996,23707.328204591042,18847.082083643927
topology_carcinoma_19_clean.csv,4902.296294932015,21555.008067528353,17210.66320149533,14346.420622629972,17857.836834898986,13488.883530857065,0.0,9581.033920062831,8911.153104257814,10728.659690519135,17232.00249041137,14843.402120102037,25245.440155486318,13393.78623537708,16699.70438905247,13357.430387111546
topology_carcinoma_18_clean.csv,13853.868002646763,29196.40022136709,21895.73537971823,23762.897840493766,11078.85738339389,6655.543147879778,9581.033920062831,0.0,8207.52234120367,19779.692585299075,9007.741735214575,20307.318816985393,17784.51852811983,13101.754987690854,23167.32247066829,19197.641727569855
topology_carcinoma_11_clean.csv,10785.181499466496,23266.738267282308,14013.880839209103,19765.22574117904,11586.360792106429,7749.268805438963,8911.153104257814,8207.52234120367,0.0,16314.687416665196,11721.528868994434,13169.039961772944,17896.919604882787,5372.085254131533,16447.08080917393,12152.20509997887
topology_carcinoma_16_clean.csv,6166.032281614834,11509.712696788058,12649.467004268135,4435.092130913699,27258.542485559785,23376.581776512397,10728.659690519135,19779.692585299075,16314.687416665196,0.0,27355.19365778593,9037.106885437723,34175.719787676186,18144.332867587975,9315.627366330418,8526.67646607158
topology_carcinoma_3_clean.csv,21455.223715934662,34439.32826175271,22746.248600158066,31354.76323154303,2549.9516681151063,4101.815781134845,17232.00249041137,9007.741735214575,11721.528868994434,27355.19365778593,0.0,22157.90278495786,9017.239972565802,12750.913918398,27678.798219547065,22734.18259018338
topology_carcinoma_6_clean.csv,10613.472470570841,12373.369723095639,3886.3497371808344,11130.083587892457,22056.198451047003,18807.104387570245,14843.402120102037,20307.318816985393,13169.039961772944,9037.106885437723,22157.90278495786,0.0,28769.661555992756,11851.029524036392,6151.648909623164,2307.292636762555
topology_carcinoma_14_clean.csv,28472.573775487515,40421.361025595026,28600.665073936565,37316.65929580628,7814.160692345212,11987.933914019088,25245.440155486318,17784.51852811983,17896.919604882787,34175.719787676186,9017.239972565802,28769.661555992756,0.0,18478.00657730104,33447.83381982119,28859.349334881183
topology_carcinoma_12_clean.csv,13886.316388071436,22759.200931824333,11295.660052104662,19895.01155313975,12608.308620010446,9056.239341291996,13393.78623537708,13101.754987690854,5372.085254131533,18144.332867587975,12750.913918398,11851.029524036392,18478.00657730104,0.0,15434.534401084631,11474.483145155358
topology_carcinoma_15_clean.csv,12267.198309530173,7545.954721689186,5750.932941263867,7359.619048725571,27517.151672494325,23707.328204591042,16699.70438905247,23167.32247066829,16447.08080917393,9315.627366330418,27678.798219547065,6151.648909623164,33447.83381982119,15434.534401084631,0.0,5074.79757830337
topology_carcinoma_1_clean.csv,9157.170213631702,11781.443643750681,4516.224312096323,9264.412833591168,22583.27195481929,18847.082083643927,13357.430387111546,19197.641727569855,12152.20509997887,8526.67646607158,22734.18259018338,2307.292636762555,28859.349334881183,11474.483145155358,5074.79757830337,0.0
