,topology_carcinoma_10_clean.csv,topology_carcinoma_2_clean.csv,topology_carcinoma_8_clean.csv,topology_carcinoma_20_clean.csv,topology_carcinoma_13_clean.csv,topology_carcinoma_9_clean.csv,topology_carcinoma_4_clean.csv,topology_carcinoma_17_clean.csv,topology_carcinoma_5_clean.csv,topology_carcinoma_7_clean.csv,topology_carcinoma_19_clean.csv,topology_carcinoma_18_clean.csv,topology_carcinoma_11_clean.csv,topology_carcinoma_16_clean.csv,topology_carcinoma_3_clean.csv,topology_carcinoma_6_clean.csv,topology_carcinoma_14_clean.csv,topology_carcinoma_12_clean.csv,topology_carcinoma_15_clean.csv,topology_carcinoma_1_clean.csv
topology_carcinoma_10_clean.csv,8.96613878420728e-309,27.246208059191886,inf,25.0864504560779,inf,inf,25.50974062197919,37.273189739734875,inf,27.076652053900272,27.076652053900276,30.32138525306722,25.667929723700908,27.076652053900276,35.00574336388273,36.15540872295049,21.671452786739692,36.15540872295049,20.156997469071044,27.076652053900276
topology_carcinoma_2_clean.csv,27.246208059191886,6.81643118950849e-309,inf,21.947180748218642,inf,inf,19.25949299003572,64.51939779892675,inf,12.908891922881082,22.20165650895268,15.6818693195369,15.908841761295475,19.251969053637737,7.759535304690843,12.139099840369267,14.536626891816608,15.690237652706998,18.351239628830967,9.4927450729393
topology_carcinoma_8_clean.csv,inf,inf,5.24032421631509e-309,inf,20.597340213758628,30.095704425226252,inf,inf,104.52318557082876,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_carcinoma_20_clean.csv,25.0864504560779,21.947180748218642,inf,1.418915010388636e-308,inf,inf,12.933304671545493,42.57221705070811,inf,18.52336214632922,10.225220982156387,26.03294025681239,19.555206447147043,14.257269208018924,29.70671605290948,34.086280588587904,14.91947923943873,37.63741840092563,18.351239628830967,18.845991914968337
topology_carcinoma_13_clean.csv,inf,inf,20.597340213758628,inf,1.463810445506201e-308,40.92560494333103,inf,inf,91.1604107040068,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_carcinoma_9_clean.csv,inf,inf,30.095704425226252,inf,40.92560494333103,1.1701688196727677e-308,inf,inf,125.56822032054669,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_carcinoma_4_clean.csv,25.50974062197919,19.25949299003572,inf,12.933304671545493,inf,inf,7.89546256490833e-309,52.35067155420779,inf,19.200534852279205,9.026518895591892,16.25448575331272,12.790218505940869,12.021580414567445,20.119413494059515,24.307826085088237,15.596651945388714,27.858963897425966,18.351239628830967,13.255422659141999
topology_carcinoma_17_clean.csv,37.273189739734875,64.51939779892675,inf,42.57221705070811,inf,inf,52.35067155420779,8.46063137955187e-309,inf,51.61050587604568,52.57753471853207,66.72508846756872,62.12742349785516,56.82948625872704,66.72508846756872,66.72508846756872,55.86715486952312,64.97567827669087,57.43018720880592,61.418208965676456
topology_carcinoma_5_clean.csv,inf,inf,104.52318557082876,inf,91.1604107040068,125.56822032054669,inf,inf,1.0278641443625148e-308,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
topology_carcinoma_7_clean.csv,27.076652053900272,12.908891922881082,inf,18.52336214632922,inf,inf,19.200534852279205,51.61050587604568,inf,1.826992956764548e-308,22.14269837119616,16.994651431474832,14.309404715793505,19.416036646249804,20.668427227571925,25.04799176325035,14.53662689181661,28.59912957558808,18.351239628830967,9.807703089630778
